,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.8354430379746836,0.8118013560564413,0.1310541310541311,0.76,0.8703703703703703
1,10,0.8734177215189873,0.8566763425253991,0.08974358974358976,0.84,0.8888888888888888
2,15,0.8987341772151899,0.8803030303030301,0.10826210826210825,0.8,0.9444444444444444
3,20,0.8734177215189873,0.8537037037037039,0.08119658119658124,0.8,0.9074074074074074
4,25,0.8987341772151899,0.8773291925465838,0.08404558404558404,0.76,0.9629629629629629
5,30,0.9240506329113924,0.9102272727272727,0.08119658119658124,0.84,0.9629629629629629
6,35,0.8987341772151899,0.8773291925465838,0.07834757834757833,0.76,0.9629629629629629
7,40,0.9620253164556962,0.9556262872121326,0.07122507122507127,0.92,0.9814814814814815
8,45,0.9620253164556962,0.9545715928694652,0.06552706552706555,0.88,1.0
9,50,0.9493670886075949,0.9401515151515152,0.06837606837606836,0.88,0.9814814814814815
10,55,0.9620253164556962,0.9545715928694652,0.061253561253561295,0.88,1.0
11,60,0.9746835443037974,0.9700757575757576,0.056980056980056926,0.92,1.0
12,65,0.9493670886075949,0.9401515151515152,0.047008547008547064,0.88,0.9814814814814815
13,70,0.9620253164556962,0.9545715928694652,0.061253561253561295,0.88,1.0
14,75,0.9746835443037974,0.9700757575757576,0.05982905982905984,0.92,1.0
15,80,0.9620253164556962,0.9545715928694652,0.05555555555555558,0.88,1.0
16,85,0.9620253164556962,0.9545715928694652,0.05128205128205132,0.88,1.0
17,90,0.9746835443037974,0.9700757575757576,0.05270655270655267,0.92,1.0
18,95,0.9620253164556962,0.9545715928694652,0.056980056980056926,0.88,1.0
19,100,0.9746835443037974,0.9700757575757576,0.05840455840455838,0.92,1.0
20,105,0.9620253164556962,0.9545715928694652,0.038461538461538436,0.88,1.0
21,110,0.9620253164556962,0.9545715928694652,0.054131054131054124,0.88,1.0
22,115,0.9746835443037974,0.9700757575757576,0.056980056980056926,0.92,1.0
23,120,0.9746835443037974,0.9700757575757576,0.04843304843304841,0.92,1.0
24,125,0.9746835443037974,0.9700757575757576,0.05128205128205132,0.92,1.0
25,130,0.9620253164556962,0.9545715928694652,0.049857549857549865,0.88,1.0
26,135,0.9746835443037974,0.9700757575757576,0.054131054131054124,0.92,1.0
27,140,0.9746835443037974,0.9700757575757576,0.054131054131054124,0.92,1.0
28,145,0.9746835443037974,0.9700757575757576,0.04843304843304841,0.92,1.0
29,150,0.9746835443037974,0.9700757575757576,0.06837606837606836,0.92,1.0
30,155,0.9746835443037974,0.9700757575757576,0.05128205128205132,0.92,1.0
31,160,0.9620253164556962,0.9556262872121326,0.05982905982905984,0.92,0.9814814814814815
32,165,0.9620253164556962,0.9545715928694652,0.061253561253561295,0.88,1.0
33,170,0.9746835443037974,0.9700757575757576,0.054131054131054124,0.92,1.0
34,175,0.9620253164556962,0.9545715928694652,0.061253561253561295,0.88,1.0
35,180,0.9746835443037974,0.9700757575757576,0.05840455840455838,0.92,1.0
36,185,0.9746835443037974,0.9700757575757576,0.05270655270655267,0.92,1.0
37,190,0.9620253164556962,0.9545715928694652,0.061253561253561295,0.88,1.0
38,195,0.9746835443037974,0.9700757575757576,0.054131054131054124,0.92,1.0
39,200,0.9746835443037974,0.9700757575757576,0.05555555555555558,0.92,1.0
40,205,0.9620253164556962,0.9545715928694652,0.054131054131054124,0.88,1.0
41,210,0.9620253164556962,0.9545715928694652,0.05982905982905984,0.88,1.0
42,215,0.9746835443037974,0.9700757575757576,0.04558404558404561,0.92,1.0
43,220,0.9620253164556962,0.9545715928694652,0.05128205128205132,0.88,1.0
44,225,0.9746835443037974,0.9700757575757576,0.05555555555555558,0.92,1.0
45,230,0.9746835443037974,0.9700757575757576,0.05270655270655267,0.92,1.0
46,235,0.9493670886075949,0.9401515151515152,0.05840455840455838,0.88,0.9814814814814815
47,240,0.9620253164556962,0.9545715928694652,0.06267806267806264,0.88,1.0
48,245,0.9746835443037974,0.9700757575757576,0.056980056980056926,0.92,1.0
49,250,0.9746835443037974,0.9700757575757576,0.05555555555555558,0.92,1.0
50,255,0.9620253164556962,0.9545715928694652,0.04558404558404561,0.88,1.0
51,260,0.9620253164556962,0.9556262872121326,0.06267806267806264,0.92,0.9814814814814815
52,265,0.9493670886075949,0.938664596273292,0.061253561253561295,0.84,1.0
53,270,0.9746835443037974,0.9700757575757576,0.05982905982905984,0.92,1.0
54,275,0.9620253164556962,0.9545715928694652,0.0641025641025641,0.88,1.0
55,280,0.9367088607594937,0.9223205506391348,0.06267806267806264,0.8,1.0
56,285,0.9620253164556962,0.9545715928694652,0.061253561253561295,0.88,1.0
57,290,0.9620253164556962,0.9545715928694652,0.05555555555555558,0.88,1.0
58,295,0.9620253164556962,0.9545715928694652,0.06267806267806264,0.88,1.0
59,300,0.9746835443037974,0.9700757575757576,0.056980056980056926,0.92,1.0
60,305,0.9746835443037974,0.9700757575757576,0.05128205128205132,0.92,1.0
61,310,0.9493670886075949,0.938664596273292,0.054131054131054124,0.84,1.0
62,315,0.9620253164556962,0.9545715928694652,0.07407407407407407,0.88,1.0
63,320,0.9620253164556962,0.9545715928694652,0.07264957264957261,0.88,1.0
64,325,0.9620253164556962,0.9545715928694652,0.061253561253561295,0.88,1.0
65,330,0.9620253164556962,0.9545715928694652,0.056980056980056926,0.88,1.0
66,335,0.9620253164556962,0.9545715928694652,0.05840455840455838,0.88,1.0
67,340,0.9620253164556962,0.9545715928694652,0.06552706552706555,0.88,1.0
68,345,0.9493670886075949,0.938664596273292,0.0669515669515669,0.84,1.0
69,350,0.9493670886075949,0.938664596273292,0.05555555555555558,0.84,1.0
70,355,0.9493670886075949,0.938664596273292,0.05840455840455838,0.84,1.0
71,360,0.9620253164556962,0.9545715928694652,0.06267806267806264,0.88,1.0
72,365,0.9620253164556962,0.9545715928694652,0.06837606837606836,0.88,1.0
73,370,0.9620253164556962,0.9545715928694652,0.0641025641025641,0.88,1.0
74,375,0.9493670886075949,0.938664596273292,0.06267806267806264,0.84,1.0
75,380,0.9620253164556962,0.9545715928694652,0.05840455840455838,0.88,1.0
76,385,0.9620253164556962,0.9545715928694652,0.061253561253561295,0.88,1.0
77,390,0.9620253164556962,0.9545715928694652,0.07122507122507127,0.88,1.0
78,395,0.9493670886075949,0.938664596273292,0.0669515669515669,0.84,1.0
79,400,0.9367088607594937,0.9223205506391348,0.06267806267806264,0.8,1.0
80,405,0.9493670886075949,0.938664596273292,0.0669515669515669,0.84,1.0
81,410,0.9240506329113924,0.9055023923444976,0.06837606837606836,0.76,1.0
82,415,0.9620253164556962,0.9545715928694652,0.054131054131054124,0.88,1.0
83,420,0.9620253164556962,0.9545715928694652,0.06552706552706555,0.88,1.0
84,425,0.9493670886075949,0.938664596273292,0.0641025641025641,0.84,1.0
85,430,0.9493670886075949,0.938664596273292,0.05982905982905984,0.84,1.0
86,435,0.9620253164556962,0.9545715928694652,0.0641025641025641,0.88,1.0
87,440,0.9493670886075949,0.938664596273292,0.05840455840455838,0.84,1.0
88,445,0.9493670886075949,0.938664596273292,0.056980056980056926,0.84,1.0
89,450,0.9367088607594937,0.9223205506391348,0.0641025641025641,0.8,1.0
90,455,0.9620253164556962,0.9545715928694652,0.06837606837606836,0.88,1.0
91,460,0.9620253164556962,0.9545715928694652,0.06552706552706555,0.88,1.0
92,465,0.9367088607594937,0.9223205506391348,0.07264957264957261,0.8,1.0
93,470,0.9367088607594937,0.9223205506391348,0.07549857549857553,0.8,1.0
94,475,0.9493670886075949,0.938664596273292,0.06980056980056981,0.84,1.0
95,480,0.9620253164556962,0.9545715928694652,0.0669515669515669,0.88,1.0
96,485,0.9620253164556962,0.9545715928694652,0.07122507122507127,0.88,1.0
97,490,0.9746835443037974,0.9700757575757576,0.07834757834757833,0.92,1.0
98,495,0.9620253164556962,0.9545715928694652,0.05840455840455838,0.88,1.0
99,500,0.9367088607594937,0.9223205506391348,0.0669515669515669,0.8,1.0
100,505,0.9367088607594937,0.9223205506391348,0.06980056980056981,0.8,1.0
101,510,0.9493670886075949,0.938664596273292,0.06552706552706555,0.84,1.0
102,515,0.9240506329113924,0.9055023923444976,0.06980056980056981,0.76,1.0
103,520,0.9493670886075949,0.938664596273292,0.07122507122507127,0.84,1.0
104,525,0.9493670886075949,0.938664596273292,0.0641025641025641,0.84,1.0
105,530,0.9746835443037974,0.9700757575757576,0.0641025641025641,0.92,1.0
106,535,0.9493670886075949,0.938664596273292,0.06552706552706555,0.84,1.0
