,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.7088607594936709,0.6325581395348837,0.22792022792022792,0.4,0.8518518518518519
1,10,0.6455696202531646,0.5706521739130435,0.20797720797720798,0.36,0.7777777777777778
2,15,0.759493670886076,0.704818092428712,0.18376068376068377,0.52,0.8703703703703703
3,20,0.7974683544303798,0.7480063795853269,0.18803418803418803,0.56,0.9074074074074074
4,25,0.8227848101265823,0.779505582137161,0.19943019943019946,0.6,0.9259259259259259
5,30,0.7974683544303798,0.7480063795853269,0.18518518518518523,0.56,0.9074074074074074
6,35,0.7848101265822784,0.7284125379170879,0.16951566951566954,0.52,0.9074074074074074
7,40,0.7721518987341772,0.7165071770334929,0.13532763532763536,0.52,0.8888888888888888
8,45,0.8227848101265823,0.7656779661016949,0.14245014245014243,0.52,0.9629629629629629
9,50,0.8227848101265823,0.779505582137161,0.1367521367521367,0.6,0.9259259259259259
10,55,0.8227848101265823,0.7729885057471264,0.1282051282051282,0.56,0.9444444444444444
11,60,0.8607594936708861,0.8291052114060964,0.1253561253561254,0.68,0.9444444444444444
12,65,0.8354430379746836,0.7923154701718909,0.12108262108262113,0.6,0.9444444444444444
13,70,0.8607594936708861,0.8334291738547058,0.12678062678062674,0.72,0.9259259259259259
14,75,0.8607594936708861,0.8291052114060964,0.11680911680911676,0.68,0.9444444444444444
15,80,0.8607594936708861,0.8291052114060964,0.1282051282051282,0.68,0.9444444444444444
16,85,0.8481012658227848,0.8110047846889952,0.11538461538461542,0.64,0.9444444444444444
17,90,0.8354430379746836,0.7923154701718909,0.13247863247863245,0.6,0.9444444444444444
18,95,0.8354430379746836,0.7980334316617502,0.12108262108262113,0.64,0.9259259259259259
19,100,0.8607594936708861,0.8291052114060964,0.12678062678062674,0.68,0.9444444444444444
20,105,0.8481012658227848,0.8110047846889952,0.1282051282051282,0.64,0.9444444444444444
21,110,0.8607594936708861,0.8291052114060964,0.1253561253561254,0.68,0.9444444444444444
22,112,0.8734177215189873,0.8466614906832299,0.11680911680911676,0.72,0.9444444444444444
