,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.7974683544303798,0.6708333333333333,0.16524216524216528,0.35,0.9491525423728814
1,10,0.7974683544303798,0.7001897533206831,0.1524216524216524,0.45,0.9152542372881356
2,15,0.7974683544303798,0.6865079365079365,0.13817663817663817,0.4,0.9322033898305084
3,20,0.7974683544303798,0.6865079365079365,0.13960113960113962,0.4,0.9322033898305084
4,25,0.7848101265822784,0.6588773177546355,0.12393162393162394,0.35,0.9322033898305084
5,30,0.7848101265822784,0.6588773177546355,0.12108262108262113,0.35,0.9322033898305084
6,35,0.810126582278481,0.6990093980187961,0.1253561253561254,0.4,0.9491525423728814
7,40,0.810126582278481,0.6990093980187961,0.1310541310541311,0.4,0.9491525423728814
8,45,0.8481012658227848,0.7531249999999999,0.12250712250712248,0.45,0.9830508474576272
9,50,0.8227848101265823,0.7119791666666666,0.10541310541310545,0.4,0.9661016949152542
10,55,0.8607594936708861,0.7792735585471171,0.12393162393162394,0.5,0.9830508474576272
11,60,0.8607594936708861,0.7792735585471171,0.11965811965811968,0.5,0.9830508474576272
12,65,0.8481012658227848,0.7648809523809523,0.11538461538461542,0.5,0.9661016949152542
13,70,0.8607594936708861,0.7677091686714782,0.12678062678062674,0.45,1.0
14,75,0.8481012658227848,0.7531249999999999,0.12250712250712248,0.45,0.9830508474576272
15,80,0.8734177215189873,0.8040674603174602,0.1310541310541311,0.55,0.9830508474576272
16,85,0.8354430379746836,0.7254744720662925,0.1125356125356125,0.4,0.9830508474576272
17,90,0.8481012658227848,0.7648809523809523,0.10398860398860399,0.5,0.9661016949152542
18,95,0.8354430379746836,0.7391414782829566,0.11538461538461542,0.45,0.9661016949152542
19,100,0.8227848101265823,0.7119791666666666,0.11680911680911676,0.4,0.9661016949152542
20,105,0.8481012658227848,0.7751423149905123,0.11396011396011396,0.55,0.9491525423728814
21,110,0.8227848101265823,0.7256944444444445,0.12250712250712248,0.45,0.9491525423728814
22,112,0.8481012658227848,0.7531249999999999,0.11965811965811968,0.45,0.9830508474576272
