,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.9069767441860465,0.873992673992674,0.0778210116731517,0.8095238095238095,0.9384615384615385
1,10,0.9069767441860465,0.8696969696969697,0.08171206225680938,0.7619047619047619,0.9538461538461539
2,15,0.9069767441860465,0.8648860958366064,0.08430609597924776,0.7142857142857143,0.9692307692307692
3,20,0.8953488372093024,0.8450450450450451,0.079118028534371,0.6666666666666666,0.9692307692307692
4,25,0.872093023255814,0.8027111574556829,0.08041504539559019,0.5714285714285714,0.9692307692307692
5,30,0.8953488372093024,0.8450450450450451,0.08430609597924776,0.6666666666666666,0.9692307692307692
6,35,0.8837209302325582,0.8243464052287581,0.0946822308690013,0.6190476190476191,0.9692307692307692
7,40,0.8837209302325582,0.8167092924126172,0.09079118028534372,0.5714285714285714,0.9846153846153847
8,45,0.9069767441860465,0.8594771241830066,0.09079118028534372,0.6666666666666666,0.9846153846153847
9,50,0.872093023255814,0.8027111574556829,0.08819714656290534,0.5714285714285714,0.9692307692307692
10,55,0.8837209302325582,0.8167092924126172,0.08430609597924776,0.5714285714285714,0.9846153846153847
11,60,0.8837209302325582,0.8167092924126172,0.08949416342412453,0.5714285714285714,0.9846153846153847
12,65,0.8953488372093024,0.8385818561001044,0.08819714656290534,0.6190476190476191,0.9846153846153847
13,70,0.9186046511627907,0.8794794794794796,0.08300907911802857,0.7142857142857143,0.9846153846153847
