,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.7325581395348837,0.5230286954424885,0.2503242542153048,0.14285714285714285,0.9230769230769231
1,10,0.8023255813953488,0.6655227636696408,0.19195849546044097,0.3333333333333333,0.9538461538461539
2,15,0.8023255813953488,0.6021768707482993,0.16342412451361865,0.19047619047619047,1.0
3,20,0.8604651162790697,0.7577464788732394,0.10116731517509725,0.42857142857142855,1.0
4,25,0.9069767441860465,0.8533674339300938,0.08430609597924776,0.6190476190476191,1.0
5,30,0.9069767441860465,0.8594771241830066,0.08171206225680938,0.6666666666666666,0.9846153846153847
6,35,0.9069767441860465,0.8594771241830066,0.06874189364461736,0.6666666666666666,0.9846153846153847
7,40,0.872093023255814,0.8027111574556829,0.07522697795071331,0.5714285714285714,0.9692307692307692
8,45,0.9069767441860465,0.8594771241830066,0.0778210116731517,0.6666666666666666,0.9846153846153847
9,50,0.9302325581395349,0.8946078431372548,0.08171206225680938,0.7142857142857143,1.0
10,55,0.8837209302325582,0.8167092924126172,0.08300907911802857,0.5714285714285714,0.9846153846153847
11,60,0.8837209302325582,0.8167092924126172,0.08041504539559019,0.5714285714285714,0.9846153846153847
12,65,0.8953488372093024,0.8385818561001044,0.08560311284046696,0.6190476190476191,0.9846153846153847
13,70,0.9069767441860465,0.8594771241830066,0.0946822308690013,0.6666666666666666,0.9846153846153847
