,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.6976744186046512,0.5433006535947713,0.28552971576227393,0.23809523809523808,0.8461538461538461
1,10,0.7441860465116279,0.5015806111696522,0.2609819121447028,0.09523809523809523,0.9538461538461539
2,15,0.7674418604651163,0.5468914646996839,0.26485788113695086,0.14285714285714285,0.9692307692307692
3,20,0.7790697674418605,0.5826309067688378,0.2558139534883721,0.19047619047619047,0.9692307692307692
4,25,0.8023255813953488,0.6265644955300128,0.2506459948320413,0.23809523809523808,0.9846153846153847
5,30,0.7674418604651163,0.5157657657657658,0.2325581395348837,0.09523809523809523,0.9846153846153847
6,35,0.7674418604651163,0.5157657657657658,0.22609819121447028,0.09523809523809523,0.9846153846153847
7,40,0.7790697674418605,0.555374149659864,0.21834625322997414,0.14285714285714285,0.9846153846153847
8,45,0.7906976744186046,0.6160714285714286,0.1989664082687338,0.23809523809523808,0.9692307692307692
9,50,0.7906976744186046,0.5922023182297155,0.19121447028423777,0.19047619047619047,0.9846153846153847
10,55,0.7906976744186046,0.5922023182297155,0.1989664082687338,0.19047619047619047,0.9846153846153847
11,60,0.7906976744186046,0.5641891891891893,0.18863049095607232,0.14285714285714285,1.0
12,65,0.7906976744186046,0.5641891891891893,0.19767441860465118,0.14285714285714285,1.0
13,70,0.8023255813953488,0.6021768707482993,0.17829457364341084,0.19047619047619047,1.0
14,75,0.7906976744186046,0.5641891891891893,0.17829457364341084,0.14285714285714285,1.0
15,80,0.7790697674418605,0.5231981324773854,0.18992248062015504,0.09523809523809523,1.0
16,85,0.7674418604651163,0.47878787878787876,0.18604651162790697,0.047619047619047616,1.0
17,90,0.7906976744186046,0.5641891891891893,0.1937984496124031,0.14285714285714285,1.0
18,95,0.7790697674418605,0.5231981324773854,0.19250645994832039,0.09523809523809523,1.0
19,100,0.7790697674418605,0.5231981324773854,0.1705426356589147,0.09523809523809523,1.0
20,105,0.7790697674418605,0.5231981324773854,0.2041343669250646,0.09523809523809523,1.0
21,110,0.7674418604651163,0.47878787878787876,0.19767441860465118,0.047619047619047616,1.0
22,115,0.7674418604651163,0.47878787878787876,0.19767441860465118,0.047619047619047616,1.0
23,120,0.7906976744186046,0.5641891891891893,0.19250645994832039,0.14285714285714285,1.0
24,125,0.7790697674418605,0.5231981324773854,0.19638242894056845,0.09523809523809523,1.0
25,130,0.7790697674418605,0.5231981324773854,0.17958656330749356,0.09523809523809523,1.0
26,135,0.8023255813953488,0.6021768707482993,0.19250645994832039,0.19047619047619047,1.0
27,140,0.7906976744186046,0.5641891891891893,0.18992248062015504,0.14285714285714285,1.0
28,145,0.8023255813953488,0.6021768707482993,0.18604651162790697,0.19047619047619047,1.0
29,150,0.7674418604651163,0.47878787878787876,0.19638242894056845,0.047619047619047616,1.0
30,155,0.7790697674418605,0.5231981324773854,0.20025839793281652,0.09523809523809523,1.0
31,160,0.7674418604651163,0.47878787878787876,0.18992248062015504,0.047619047619047616,1.0
32,165,0.7906976744186046,0.5641891891891893,0.18346253229974163,0.14285714285714285,1.0
33,170,0.8255813953488372,0.6704980842911877,0.19121447028423777,0.2857142857142857,1.0
34,175,0.7906976744186046,0.5641891891891893,0.17958656330749356,0.14285714285714285,1.0
35,180,0.8023255813953488,0.6021768707482993,0.18475452196382425,0.19047619047619047,1.0
36,185,0.8023255813953488,0.6021768707482993,0.18863049095607232,0.19047619047619047,1.0
37,190,0.7790697674418605,0.5231981324773854,0.17829457364341084,0.09523809523809523,1.0
38,195,0.7906976744186046,0.5641891891891893,0.18992248062015504,0.14285714285714285,1.0
39,200,0.8023255813953488,0.6265644955300128,0.18346253229974163,0.23809523809523808,0.9846153846153847
40,205,0.813953488372093,0.6375131717597471,0.19121447028423777,0.23809523809523808,1.0
41,210,0.8023255813953488,0.6021768707482993,0.17441860465116277,0.19047619047619047,1.0
42,215,0.8255813953488372,0.6704980842911877,0.17312661498708015,0.2857142857142857,1.0
43,220,0.7906976744186046,0.6160714285714286,0.18475452196382425,0.23809523809523808,0.9692307692307692
44,225,0.7790697674418605,0.5826309067688378,0.17312661498708015,0.19047619047619047,0.9692307692307692
45,230,0.7906976744186046,0.5641891891891893,0.18604651162790697,0.14285714285714285,1.0
46,235,0.7906976744186046,0.5641891891891893,0.17441860465116277,0.14285714285714285,1.0
47,240,0.7790697674418605,0.555374149659864,0.17312661498708015,0.14285714285714285,0.9846153846153847
48,245,0.8023255813953488,0.6021768707482993,0.18087855297157618,0.19047619047619047,1.0
49,250,0.7906976744186046,0.5641891891891893,0.1757105943152455,0.14285714285714285,1.0
50,255,0.8023255813953488,0.6021768707482993,0.17958656330749356,0.19047619047619047,1.0
51,260,0.8023255813953488,0.6021768707482993,0.1705426356589147,0.19047619047619047,1.0
52,265,0.7790697674418605,0.555374149659864,0.1821705426356589,0.14285714285714285,0.9846153846153847
53,270,0.8023255813953488,0.6021768707482993,0.16795865633074936,0.19047619047619047,1.0
54,275,0.7906976744186046,0.5641891891891893,0.16149870801033595,0.14285714285714285,1.0
55,280,0.7906976744186046,0.5641891891891893,0.15762273901808788,0.14285714285714285,1.0
56,285,0.8023255813953488,0.6021768707482993,0.16020671834625322,0.19047619047619047,1.0
57,290,0.7906976744186046,0.5641891891891893,0.15503875968992253,0.14285714285714285,1.0
58,295,0.813953488372093,0.6375131717597471,0.1640826873385013,0.23809523809523808,1.0
59,300,0.7906976744186046,0.5641891891891893,0.16537467700258401,0.14285714285714285,1.0
60,305,0.813953488372093,0.6375131717597471,0.16020671834625322,0.23809523809523808,1.0
61,310,0.8023255813953488,0.6265644955300128,0.15633074935400515,0.23809523809523808,0.9846153846153847
62,315,0.7906976744186046,0.5641891891891893,0.15503875968992253,0.14285714285714285,1.0
63,320,0.7790697674418605,0.555374149659864,0.15762273901808788,0.14285714285714285,0.9846153846153847
64,325,0.8023255813953488,0.6021768707482993,0.16149870801033595,0.19047619047619047,1.0
65,330,0.7790697674418605,0.555374149659864,0.16279069767441856,0.14285714285714285,0.9846153846153847
66,335,0.7906976744186046,0.5641891891891893,0.14987080103359174,0.14285714285714285,1.0
67,340,0.8023255813953488,0.6021768707482993,0.16279069767441856,0.19047619047619047,1.0
68,345,0.7906976744186046,0.5641891891891893,0.1757105943152455,0.14285714285714285,1.0
69,350,0.7790697674418605,0.555374149659864,0.1640826873385013,0.14285714285714285,0.9846153846153847
70,355,0.8023255813953488,0.6021768707482993,0.16537467700258401,0.19047619047619047,1.0
71,360,0.8023255813953488,0.6265644955300128,0.15762273901808788,0.23809523809523808,0.9846153846153847
