,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.7286374133949192,0.5065168103396016,0.2866307415960996,0.11848341232227488,0.9251908396946565
1,10,0.7644341801385681,0.5263191763191764,0.2593020272004106,0.11374407582938388,0.9740458015267176
2,15,0.7586605080831409,0.4891720644059664,0.24788298691301003,0.06635071090047394,0.981679389312977
3,20,0.7678983833718245,0.5087252868210491,0.24185270721067487,0.08530805687203792,0.9877862595419847
4,25,0.7678983833718245,0.5052061569948408,0.2391583269181422,0.08056872037914692,0.9893129770992366
5,30,0.7771362586605081,0.5282785092361317,0.2340261739799846,0.10426540284360189,0.9938931297709923
6,35,0.7713625866050808,0.5072758620689655,0.23890171927123427,0.08056872037914692,0.9938931297709923
7,40,0.7655889145496536,0.4735499249845028,0.23826020015396454,0.04265402843601896,0.9984732824427481
8,45,0.7771362586605081,0.5214606590373554,0.22645624839620215,0.0947867298578199,0.9969465648854962
9,50,0.7863741339491916,0.5632165105849316,0.21285604311008466,0.14691943127962084,0.9923664122137404
10,55,0.815242494226328,0.655199872591177,0.193225558121632,0.27488151658767773,0.9893129770992366
11,60,0.836027713625866,0.7224358974358975,0.16191942519887093,0.4028436018957346,0.9755725190839695
12,65,0.8545034642032333,0.7619405003970714,0.15422119579163462,0.47393364928909953,0.9770992366412213
13,70,0.8625866050808314,0.7724730698494915,0.15191172696946365,0.4786729857819905,0.9862595419847329
14,75,0.859122401847575,0.7627141483923711,0.15088529638183212,0.4549763033175355,0.9893129770992366
15,80,0.851039260969977,0.7446391222355564,0.15216833461637158,0.4218009478672986,0.9893129770992366
16,85,0.8648960739030023,0.7825087417653536,0.1433153707980498,0.5118483412322274,0.9786259541984733
17,90,0.8614318706697459,0.7743381279966646,0.14305876315114185,0.4928909952606635,0.9801526717557252
18,95,0.8799076212471132,0.8071153829679696,0.1263792661021298,0.5450236966824644,0.9877862595419847
19,100,0.871824480369515,0.7917489010739038,0.12830382345393898,0.5165876777251185,0.9862595419847329
20,105,0.8695150115473441,0.7879966290211813,0.12483962022068262,0.5118483412322274,0.9847328244274809
21,110,0.874133949191686,0.7964466468707074,0.12753400051321528,0.5260663507109005,0.9862595419847329
22,115,0.8683602771362586,0.7856212215968312,0.12548113933795224,0.5071090047393365,0.9847328244274809
23,120,0.871824480369515,0.7907734499983676,0.12522453169104442,0.5118483412322274,0.9877862595419847
24,125,0.8787528868360277,0.8048155374817276,0.12548113933795224,0.5402843601895735,0.9877862595419847
25,130,0.8752886836027713,0.799696743851353,0.12663587374903773,0.5355450236966824,0.9847328244274809
26,135,0.8752886836027713,0.799696743851353,0.1230433666923274,0.5355450236966824,0.9847328244274809
27,140,0.8775981524249422,0.8060429344151453,0.11701308698999235,0.5545023696682464,0.981679389312977
28,145,0.8822170900692841,0.8108247025262779,0.11945085963561719,0.5497630331753555,0.9893129770992366
29,150,0.8822170900692841,0.8108247025262779,0.10790351552476263,0.5497630331753555,0.9893129770992366
30,155,0.8833718244803695,0.8139476511066441,0.113548883756736,0.5592417061611374,0.9877862595419847
31,160,0.8822170900692841,0.8141865455004418,0.11342057993328203,0.5687203791469194,0.983206106870229
32,165,0.894919168591224,0.8353113277535709,0.1102129843469335,0.6018957345971564,0.9893129770992366
33,170,0.8903002309468823,0.8280722652372443,0.10828842699512442,0.5924170616113744,0.9862595419847329
34,175,0.8891454965357968,0.8258829837142283,0.10905824993584812,0.5876777251184834,0.9862595419847329
35,180,0.8845265588914549,0.8178299465690606,0.10777521170130866,0.5734597156398105,0.9847328244274809
36,185,0.8799076212471132,0.8079888115704734,0.10597895817295355,0.5497630331753555,0.9862595419847329
37,190,0.8879907621247113,0.8213160609638068,0.10443931229150627,0.5687203791469194,0.9908396946564886
38,195,0.8822170900692841,0.8116813344248874,0.10700538876058507,0.5545023696682464,0.9877862595419847
39,200,0.8914549653579676,0.8280003380662609,0.1003335899409803,0.5829383886255924,0.9908396946564886
40,205,0.8926096997690531,0.8345518676546415,0.10520913523222997,0.6161137440758294,0.981679389312977
41,210,0.8995381062355658,0.8452259407091809,0.10174493199897361,0.6303317535545023,0.9862595419847329
42,215,0.8983833718244804,0.8431159420289855,0.10366948935078268,0.6255924170616114,0.9862595419847329
43,220,0.8937644341801386,0.8338629899323541,0.10238645111624323,0.6018957345971564,0.9877862595419847
44,225,0.8983833718244804,0.8424477982220384,0.10418270464459845,0.6208530805687204,0.9877862595419847
45,230,0.9053117782909931,0.8556349767835216,0.09943546317680263,0.6540284360189573,0.9862595419847329
46,235,0.8972286374133949,0.8416679163576678,0.1043110084680523,0.6255924170616114,0.9847328244274809
47,240,0.8926096997690531,0.8331396179975014,0.10572235052604573,0.6066350710900474,0.9847328244274809
48,245,0.8914549653579676,0.8331242363861487,0.1043110084680523,0.6161137440758294,0.9801526717557252
49,250,0.9006928406466512,0.8453674174473458,0.09815242494226328,0.6208530805687204,0.9908396946564886
50,255,0.8983833718244804,0.8417713108763536,0.10559404670259176,0.6161137440758294,0.9893129770992366
51,260,0.9006928406466512,0.8453674174473458,0.10097510905824991,0.6208530805687204,0.9908396946564886
52,265,0.8995381062355658,0.8445694622378184,0.09776751347190149,0.6255924170616114,0.9877862595419847
53,270,0.8926096997690531,0.8324202290910225,0.1025147549396972,0.6018957345971564,0.9862595419847329
54,275,0.8960739030023095,0.8381752043053619,0.105080831408776,0.6113744075829384,0.9877862595419847
55,280,0.8891454965357968,0.8258829837142283,0.10623556581986138,0.5876777251184834,0.9862595419847329
56,285,0.8972286374133949,0.8389308590117341,0.10520913523222997,0.6066350710900474,0.9908396946564886
57,290,0.8845265588914549,0.8162030001782788,0.105080831408776,0.5639810426540285,0.9877862595419847
58,295,0.8903002309468823,0.8280722652372443,0.10713369258403904,0.5924170616113744,0.9862595419847329
59,300,0.8937644341801386,0.833137859392802,0.1043110084680523,0.5971563981042654,0.9893129770992366
