,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.7956120092378753,0.6548845314726881,0.22016936104695917,0.3222748815165877,0.9480916030534351
1,10,0.8036951501154734,0.6626149290945925,0.1918142160636387,0.3222748815165877,0.9587786259541985
2,15,0.851039260969977,0.7484751670055184,0.15922504490633815,0.43601895734597157,0.9847328244274809
3,20,0.859122401847575,0.770577096796609,0.14523992814985887,0.4881516587677725,0.9786259541984733
4,25,0.8545034642032333,0.7630550343964979,0.14267385168078006,0.4786729857819905,0.9755725190839695
5,30,0.8637413394919169,0.7780991591967201,0.14600975109058245,0.4976303317535545,0.981679389312977
6,35,0.8602771362586605,0.7708468645782078,0.14703618167821397,0.4834123222748815,0.981679389312977
7,40,0.8695150115473441,0.788976799049449,0.13253784962791892,0.5165876777251185,0.983206106870229
8,45,0.8764434180138568,0.8010977381956652,0.12163202463433409,0.5355450236966824,0.9862595419847329
9,50,0.874133949191686,0.7964466468707074,0.1267641775724917,0.5260663507109005,0.9862595419847329
10,55,0.8764434180138568,0.8020021581427151,0.12753400051321528,0.5402843601895735,0.9847328244274809
11,60,0.8695150115473441,0.7879966290211813,0.1311265075699256,0.5118483412322274,0.9847328244274809
12,65,0.8799076212471132,0.8088511201854098,0.12214523992814985,0.5545023696682464,0.9847328244274809
13,70,0.8764434180138568,0.8037765735546676,0.12355658198614317,0.5497630331753555,0.981679389312977
14,75,0.8822170900692841,0.8133620689655172,0.1271490890428535,0.5639810426540285,0.9847328244274809
15,80,0.8879907621247113,0.8252124970089161,0.12458301257377469,0.5924170616113744,0.983206106870229
16,85,0.8845265588914549,0.8170216362407032,0.12240184757505779,0.5687203791469194,0.9862595419847329
17,90,0.8787528868360277,0.8091417992683034,0.12240184757505779,0.5639810426540285,0.9801526717557252
18,95,0.8822170900692841,0.8150006701963677,0.12573774698486018,0.5734597156398105,0.981679389312977
19,100,0.8752886836027713,0.8032563422945853,0.12535283551449838,0.5545023696682464,0.9786259541984733
20,105,0.8845265588914549,0.8194162934047327,0.12291506286887344,0.5829383886255924,0.981679389312977
21,110,0.8856812933025404,0.8192528002597342,0.11739799846035415,0.5734597156398105,0.9862595419847329
22,112,0.8845265588914549,0.8178299465690606,0.11585835257890686,0.5734597156398105,0.9847328244274809
