,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.7773972602739726,0.6025732000977165,0.23568253968253972,0.2336448598130841,0.9531722054380665
1,10,0.882420091324201,0.8210496879257922,0.11784126984126986,0.6074766355140186,0.9712990936555891
2,15,0.906392694063927,0.8600748013090229,0.10285714285714287,0.677570093457944,0.9803625377643505
3,20,0.908675799086758,0.8612914463058554,0.1038730158730159,0.6635514018691588,0.9879154078549849
4,25,0.9041095890410958,0.8555227444081428,0.10730158730158734,0.6635514018691588,0.9818731117824774
5,30,0.908675799086758,0.8624026137220406,0.10488888888888892,0.6728971962616822,0.9848942598187311
6,35,0.906392694063927,0.8560630956293132,0.10946031746031748,0.6448598130841121,0.9909365558912386
7,40,0.9098173515981736,0.864392830479281,0.1051428571428571,0.677570093457944,0.9848942598187311
8,45,0.9052511415525114,0.8533920775908133,0.10209523809523813,0.6355140186915887,0.9924471299093656
9,50,0.9143835616438356,0.8691628613703846,0.09333333333333338,0.6682242990654206,0.9939577039274925
10,55,0.9223744292237442,0.8825728006055875,0.09473015873015878,0.6962616822429907,0.9954682779456193
11,60,0.9155251141552512,0.8701057204459656,0.09828571428571431,0.6635514018691588,0.9969788519637462
12,65,0.9155251141552512,0.8701057204459656,0.10031746031746036,0.6635514018691588,0.9969788519637462
13,70,0.9166666666666666,0.8731711380444938,0.09473015873015878,0.677570093457944,0.9939577039274925
