,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.6209223847019123,0.4918854103596063,0.36567070883860486,0.1863799283154122,0.819672131147541
1,10,0.6625421822272216,0.4731664533257478,0.33841730216277033,0.1003584229390681,0.919672131147541
2,15,0.6895388076490439,0.4865143144148669,0.3275409426178272,0.0967741935483871,0.9606557377049181
3,20,0.6816647919010124,0.4646686455374336,0.3146643330416302,0.07168458781362007,0.9606557377049181
4,25,0.6872890888638921,0.48279340364975726,0.3154144268033504,0.0931899641577061,0.9590163934426229
5,30,0.7007874015748031,0.49315414951989034,0.3176647080885111,0.0967741935483871,0.9770491803278688
6,35,0.6929133858267716,0.46804621282359826,0.31791473934241776,0.06810035842293907,0.978688524590164
7,40,0.6929133858267716,0.4597909919535241,0.3141642705338167,0.05734767025089606,0.9836065573770492
8,45,0.6974128233970753,0.48108149160780744,0.3111638954869359,0.08243727598566308,0.978688524590164
9,50,0.7154105736782902,0.5325768675249644,0.29953744218027256,0.14336917562724014,0.9770491803278688
10,55,0.7052868391451068,0.4983242870681485,0.3039129891236405,0.1003584229390681,0.9819672131147541
11,60,0.7109111361079865,0.5042302726513253,0.3016627078384798,0.1039426523297491,0.9885245901639345
12,65,0.7165354330708661,0.5198302469135803,0.2961620202525316,0.12186379928315412,0.9885245901639345
13,70,0.7142857142857143,0.5136426294477471,0.3005375671958995,0.11469534050179211,0.9885245901639345
14,75,0.7120359955005624,0.5098130438528474,0.30066258282285285,0.1111111111111111,0.9868852459016394
15,80,0.7165354330708661,0.5221571906354516,0.3009126140767596,0.12544802867383512,0.9868852459016394
16,85,0.7221597300337458,0.5350034411562284,0.2970371296412051,0.13978494623655913,0.9885245901639345
17,90,0.7232845894263217,0.5312628600823045,0.2957869733716715,0.13261648745519714,0.9934426229508196
18,95,0.7210348706411699,0.5320019698745054,0.29803725465683206,0.13620071684587814,0.9885245901639345
19,100,0.7154105736782902,0.5214175523709212,0.29866233279159893,0.12544802867383512,0.9852459016393442
20,105,0.7469066366704162,0.6073483425300488,0.276659582447806,0.24014336917562723,0.978688524590164
21,110,0.749156355455568,0.6156104276338112,0.272284035504438,0.25448028673835127,0.9754098360655737
22,115,0.750281214848144,0.6181094134584126,0.27653456682085265,0.25806451612903225,0.9754098360655737
23,120,0.7480314960629921,0.6015686274509804,0.27503437929741215,0.22580645161290322,0.9868852459016394
24,125,0.7424071991001124,0.6003678686194719,0.27040880110013754,0.23297491039426524,0.9754098360655737
25,130,0.7536557930258717,0.6209619484274158,0.2684085510688836,0.25806451612903225,0.980327868852459
26,135,0.7469066366704162,0.6040402640721348,0.27465933241655205,0.23297491039426524,0.9819672131147541
27,140,0.7446569178852643,0.6071158095571844,0.27428428553569195,0.24372759856630824,0.9737704918032787
28,145,0.7457817772778402,0.6096453051898596,0.275659457432179,0.24731182795698925,0.9737704918032787
29,150,0.7480314960629921,0.6049641338157812,0.27340917614701843,0.23297491039426524,0.9836065573770492
30,155,0.7435320584926884,0.5961924646181308,0.2775346918364796,0.2222222222222222,0.9819672131147541
31,160,0.7457817772778402,0.6080430439803977,0.27765970746343294,0.24372759856630824,0.9754098360655737
32,165,0.7480314960629921,0.6082775985522071,0.27315914489311166,0.24014336917562723,0.980327868852459
33,170,0.7435320584926884,0.6061908388641062,0.27315914489311166,0.24372759856630824,0.9721311475409836
34,175,0.7379077615298087,0.5899616956835885,0.275659457432179,0.21863799283154123,0.9754098360655737
35,180,0.7390326209223848,0.5837342978008848,0.2767845980747593,0.20430107526881722,0.9836065573770492
36,185,0.7401574803149606,0.5846172517370066,0.27465933241655205,0.20430107526881722,0.9852459016393442
37,190,0.7446569178852643,0.5988211321504895,0.28153519189898735,0.22580645161290322,0.9819672131147541
38,195,0.7480314960629921,0.6066309518165585,0.27615951993999255,0.23655913978494625,0.9819672131147541
39,200,0.7424071991001124,0.5970009798778617,0.2775346918364796,0.22580645161290322,0.978688524590164
40,205,0.7559055118110236,0.6259527479665339,0.2745343167895987,0.26523297491039427,0.980327868852459
41,210,0.7536557930258717,0.6178190533959141,0.2764095511938992,0.25089605734767023,0.9836065573770492
42,215,0.7514060742407199,0.617500413709858,0.27390923865483185,0.25448028673835127,0.978688524590164
43,220,0.7435320584926884,0.5909112926663869,0.2760345043130391,0.2114695340501792,0.9868852459016394
44,225,0.7649043869516311,0.6561284865848264,0.24603075384423057,0.3225806451612903,0.9672131147540983
45,230,0.7750281214848144,0.6819092600543867,0.24528066008251026,0.3727598566308244,0.9590163934426229
46,235,0.7829021372328459,0.6903640875253779,0.2439054881860232,0.3763440860215054,0.9688524590163935
47,240,0.7716535433070866,0.6609401097590074,0.24940617577197155,0.31899641577060933,0.978688524590164
48,245,0.7885264341957255,0.6999597868704133,0.2427803475434429,0.3906810035842294,0.9704918032786886
49,250,0.7705286839145107,0.6612042682926829,0.24790598824853105,0.3225806451612903,0.9754098360655737
50,255,0.7750281214848144,0.6640211640211641,0.24403050381297664,0.31899641577060933,0.9836065573770492
51,260,0.7615298087739033,0.6505451309055849,0.24728091011376419,0.3154121863799283,0.9655737704918033
52,265,0.7705286839145107,0.6674173293037176,0.24478059757469683,0.34050179211469533,0.9672131147540983
53,270,0.7806524184476941,0.6779685575599507,0.24490561320165016,0.34408602150537637,0.980327868852459
54,275,0.7694038245219348,0.6614541246143072,0.2480310038754845,0.32616487455197135,0.9721311475409836
55,280,0.7716535433070866,0.6672296830082775,0.24440555069383674,0.33691756272401435,0.9704918032786886
56,285,0.7694038245219348,0.6508696410132625,0.24778097262157772,0.2974910394265233,0.9852459016393442
57,290,0.7739032620922385,0.6717116322649985,0.24015501937742223,0.34408602150537637,0.9704918032786886
58,295,0.7682789651293588,0.6604353630497664,0.24303037879734968,0.32616487455197135,0.9704918032786886
59,300,0.7761529808773904,0.6749781831877348,0.2442805350668834,0.34767025089605735,0.9721311475409836
60,305,0.7772778402699663,0.6711688486370158,0.24290536317039635,0.3333333333333333,0.980327868852459
61,310,0.7716535433070866,0.6634993147555961,0.25065633204150517,0.32616487455197135,0.9754098360655737
62,315,0.7716535433070866,0.664757011203436,0.25328166020752596,0.32974910394265233,0.9737704918032787
63,320,0.7626546681664792,0.6462248760422542,0.2439054881860232,0.3010752688172043,0.9737704918032787
64,325,0.7716535433070866,0.6622270885388885,0.246530816352044,0.3225806451612903,0.9770491803278688
65,330,0.7761529808773904,0.6688827124100434,0.24253031628953614,0.32974910394265233,0.980327868852459
66,335,0.7637795275590551,0.6472222222222223,0.24328041005125645,0.3010752688172043,0.9754098360655737
67,340,0.7806524184476941,0.6815112850332075,0.2480310038754845,0.3548387096774194,0.9754098360655737
68,345,0.7784026996625422,0.6722105243456209,0.24865608201025124,0.3333333333333333,0.9819672131147541
69,350,0.7626546681664792,0.6420692089721696,0.24778097262157772,0.2903225806451613,0.978688524590164
70,355,0.7739032620922385,0.6642806012884753,0.2442805350668834,0.3225806451612903,0.980327868852459
71,360,0.7705286839145107,0.6586175739778631,0.24740592574071762,0.3154121863799283,0.978688524590164
72,365,0.7694038245219348,0.6575996182295395,0.24378047255906987,0.3154121863799283,0.9770491803278688
73,370,0.7615298087739033,0.6424788296354752,0.24203025378172272,0.2939068100358423,0.9754098360655737
74,375,0.7682789651293588,0.6539417989417989,0.2435304413051631,0.30824372759856633,0.978688524590164
75,380,0.7772778402699663,0.6686582335667495,0.2457807225903238,0.32616487455197135,0.9836065573770492
