,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.8310502283105022,0.7948451781147936,0.16723809523809519,0.6451612903225806,0.9179229480737019
1,10,0.8995433789954338,0.8780160518520395,0.10577777777777775,0.7526881720430108,0.9681742043551089
2,15,0.9075342465753424,0.8891186025906079,0.08685714285714285,0.7849462365591398,0.964824120603015
3,20,0.9235159817351598,0.9082832885626017,0.07123809523809521,0.8100358422939068,0.9765494137353434
4,25,0.9257990867579908,0.9104163421737017,0.0768253968253968,0.8028673835125448,0.983249581239531
5,30,0.9166666666666666,0.89984573097675,0.07657142857142862,0.7956989247311828,0.9731993299832495
6,35,0.9166666666666666,0.8996193421290155,0.08012698412698416,0.7921146953405018,0.9748743718592965
7,40,0.9121004566210046,0.8933880417963385,0.0794920634920635,0.7741935483870968,0.9765494137353434
8,45,0.9143835616438356,0.895670401041708,0.08571428571428574,0.7706093189964157,0.981574539363484
9,50,0.9143835616438356,0.8961571835678621,0.08279365079365075,0.7777777777777778,0.9782244556113903
10,55,0.910958904109589,0.8911107569721115,0.08711111111111114,0.7598566308243727,0.981574539363484
11,60,0.9155251141552512,0.8974225890573968,0.08787301587301588,0.7777777777777778,0.9798994974874372
12,65,0.910958904109589,0.8923765120967742,0.08368253968253969,0.7777777777777778,0.9731993299832495
13,70,0.906392694063927,0.886333139225764,0.0901587301587301,0.7634408602150538,0.9731993299832495
