,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.6690140845070423,0.5361412288017793,0.36288740682620635,0.2111111111111111,0.8814432989690721
1,10,0.6901408450704225,0.5233445224290509,0.3048254217340134,0.15555555555555556,0.9381443298969072
2,15,0.7077464788732394,0.5415345716230673,0.2946253432718713,0.16666666666666666,0.9587628865979382
3,20,0.7077464788732394,0.5641836300774676,0.30247155747351906,0.2111111111111111,0.9381443298969072
4,25,0.7147887323943662,0.579720471362017,0.29580227540211845,0.23333333333333334,0.9381443298969072
5,30,0.7323943661971831,0.5935216572504707,0.2907022361710475,0.23333333333333334,0.9639175257731959
6,35,0.7183098591549296,0.5773809523809523,0.25304040800313854,0.2222222222222222,0.9484536082474226
7,40,0.7253521126760564,0.5775099176075678,0.25304040800313854,0.2111111111111111,0.9639175257731959
8,45,0.7288732394366197,0.5907244857854055,0.2404864652805021,0.23333333333333334,0.9587628865979382
9,50,0.7676056338028169,0.6634346046110753,0.24127108670066688,0.3333333333333333,0.9690721649484536
10,55,0.7640845070422535,0.6640002825307694,0.2306786975284425,0.34444444444444444,0.9587628865979382
11,60,0.7852112676056338,0.7066066015208223,0.2177324440957238,0.4222222222222222,0.9536082474226805
12,65,0.7746478873239436,0.6936973373778228,0.2204786190663005,0.4111111111111111,0.9432989690721649
13,70,0.7816901408450704,0.6940505977203225,0.22126324048646528,0.3888888888888889,0.9639175257731959
14,75,0.7676056338028169,0.6708113804004215,0.22126324048646528,0.35555555555555557,0.9587628865979382
15,80,0.7816901408450704,0.6940505977203225,0.21930168693605334,0.3888888888888889,0.9639175257731959
16,85,0.7992957746478874,0.7172253567872553,0.20870929776382896,0.4111111111111111,0.979381443298969
17,90,0.7887323943661971,0.7039199332777315,0.20988622989407613,0.4,0.9690721649484536
18,95,0.778169014084507,0.6768939051918735,0.22479403687720678,0.34444444444444444,0.979381443298969
19,100,0.7676056338028169,0.6634346046110753,0.21655551196547662,0.3333333333333333,0.9690721649484536
20,105,0.8274647887323944,0.7666314500846875,0.20596312279325224,0.5,0.979381443298969
21,110,0.8028169014084507,0.7206884439761152,0.2036092585327579,0.4111111111111111,0.9845360824742269
22,115,0.7992957746478874,0.7172253567872553,0.20870929776382896,0.4111111111111111,0.979381443298969
23,120,0.8204225352112676,0.7547038799600319,0.20674774421341702,0.4777777777777778,0.979381443298969
24,125,0.7992957746478874,0.7172253567872553,0.1977245978815222,0.4111111111111111,0.979381443298969
25,130,0.8450704225352113,0.7971823670713497,0.19576304433111025,0.5666666666666667,0.9742268041237113
26,135,0.8345070422535211,0.782375478927203,0.18163985876814437,0.5444444444444444,0.9690721649484536
27,140,0.8133802816901409,0.7475809562140499,0.18830914083954498,0.4777777777777778,0.9690721649484536
28,145,0.8309859154929577,0.7787444004414725,0.1902706943899568,0.5444444444444444,0.9639175257731959
29,150,0.8450704225352113,0.7971823670713497,0.19144762652020397,0.5666666666666667,0.9742268041237113
30,155,0.8204225352112676,0.7547038799600319,0.18595527657905064,0.4777777777777778,0.979381443298969
31,160,0.8204225352112676,0.7547038799600319,0.18281679089839153,0.4777777777777778,0.979381443298969
32,165,0.8415492957746479,0.7897161661867544,0.1902706943899568,0.5444444444444444,0.979381443298969
33,170,0.8309859154929577,0.7746478873239437,0.19183993723028636,0.5222222222222223,0.9742268041237113
34,175,0.823943661971831,0.760701044826424,0.1836014123185563,0.4888888888888889,0.979381443298969
35,180,0.8204225352112676,0.7571062031493687,0.19301686936053353,0.4888888888888889,0.9742268041237113
36,185,0.8028169014084507,0.7293028322440087,0.19458611220086308,0.4444444444444444,0.9690721649484536
37,190,0.8204225352112676,0.7547038799600319,0.18477834444880348,0.4777777777777778,0.979381443298969
38,195,0.8169014084507042,0.7535380507343125,0.1843860337387211,0.4888888888888889,0.9690721649484536
39,200,0.823943661971831,0.760701044826424,0.1879168301294626,0.4888888888888889,0.979381443298969
40,205,0.8169014084507042,0.7486383442265796,0.1906630051000392,0.4666666666666667,0.979381443298969
41,210,0.8169014084507042,0.7486383442265796,0.18242448018830915,0.4666666666666667,0.979381443298969
42,215,0.8345070422535211,0.7761566970200063,0.19105531581012158,0.5111111111111111,0.9845360824742269
43,220,0.8309859154929577,0.7746478873239437,0.17653981953707332,0.5222222222222223,0.9742268041237113
44,225,0.8380281690140845,0.7819759679572764,0.17340133385641432,0.5222222222222223,0.9845360824742269
45,230,0.8345070422535211,0.7761566970200063,0.16790898391526088,0.5111111111111111,0.9845360824742269
46,235,0.8485915492957746,0.7971664424402478,0.16516280894468416,0.5444444444444444,0.9896907216494846
47,240,0.8380281690140845,0.7819759679572764,0.15888583758336605,0.5222222222222223,0.9845360824742269
48,245,0.8626760563380281,0.817754010695187,0.15535504119262455,0.5777777777777777,0.9948453608247423
49,250,0.8345070422535211,0.7761566970200063,0.15849352687328366,0.5111111111111111,0.9845360824742269
50,255,0.8556338028169014,0.8084080625257095,0.1541781090623774,0.5666666666666667,0.9896907216494846
51,260,0.852112676056338,0.8009345794392523,0.15182424480188306,0.5444444444444444,0.9948453608247423
52,265,0.8415492957746479,0.7856819439553253,0.1671243624950961,0.5222222222222223,0.9896907216494846
53,270,0.8661971830985915,0.8248393170161656,0.143585719890153,0.6,0.9896907216494846
