,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.8098591549295775,0.6868414604263661,0.16908591604550804,0.37681159420289856,0.9488372093023256
1,10,0.852112676056338,0.759903381642512,0.14437034131031778,0.4782608695652174,0.9720930232558139
2,15,0.8661971830985915,0.785788011115522,0.11965476657512752,0.5217391304347826,0.9767441860465116
3,20,0.852112676056338,0.7564322469982847,0.1235778736759513,0.463768115942029,0.9767441860465116
4,25,0.8626760563380281,0.7786172573004737,0.12318556296586902,0.5072463768115942,0.9767441860465116
5,30,0.8802816901408451,0.8083366415244144,0.12279325225578663,0.5507246376811594,0.986046511627907
6,35,0.8697183098591549,0.7869726518944999,0.11730090231463319,0.5072463768115942,0.986046511627907
7,40,0.8838028169014085,0.8126761407927086,0.11651628089446842,0.5507246376811594,0.9906976744186047
8,45,0.8767605633802817,0.8040491257121454,0.11612397018438603,0.5507246376811594,0.9813953488372092
9,50,0.8767605633802817,0.8040491257121454,0.11533934876422125,0.5507246376811594,0.9813953488372092
10,55,0.8838028169014085,0.8152463185285942,0.11259317379364453,0.5652173913043478,0.986046511627907
11,60,0.8626760563380281,0.7786172573004737,0.1169085916045508,0.5072463768115942,0.9767441860465116
12,65,0.8908450704225352,0.8240291019567867,0.11612397018438603,0.5652173913043478,0.9953488372093023
13,70,0.8732394366197183,0.7942028985507247,0.11416241663397408,0.5217391304347826,0.986046511627907
14,75,0.8767605633802817,0.8013231796286302,0.11926245586504514,0.5362318840579711,0.986046511627907
15,80,0.9014084507042254,0.8483368935001525,0.10631620243232642,0.6376811594202898,0.986046511627907
16,85,0.8943661971830986,0.8353814050544864,0.10435464888191448,0.6086956521739131,0.986046511627907
17,90,0.8943661971830986,0.8331766917293233,0.10121616320125537,0.5942028985507246,0.9906976744186047
18,95,0.8908450704225352,0.8240291019567867,0.10827775598273837,0.5652173913043478,0.9953488372093023
19,100,0.897887323943662,0.837640704161492,0.10945468811298553,0.5942028985507246,0.9953488372093023
20,105,0.9049295774647887,0.8528073711488626,0.10945468811298553,0.6376811594202898,0.9906976744186047
21,110,0.8943661971830986,0.8308852719333069,0.10827775598273837,0.5797101449275363,0.9953488372093023
22,115,0.8908450704225352,0.8264435113450431,0.11063162024323259,0.5797101449275363,0.9906976744186047
23,120,0.8873239436619719,0.8170692431561997,0.10396233817183209,0.5507246376811594,0.9953488372093023
24,125,0.8943661971830986,0.8331766917293233,0.10592389172224403,0.5942028985507246,0.9906976744186047
25,130,0.9014084507042254,0.8442982456140351,0.10396233817183209,0.6086956521739131,0.9953488372093023
26,135,0.9014084507042254,0.8421595871377531,0.1071008238524912,0.5942028985507246,1.0
27,140,0.9014084507042254,0.8483368935001525,0.10435464888191448,0.6376811594202898,0.986046511627907
28,145,0.8943661971830986,0.8353814050544864,0.10906237740290314,0.6086956521739131,0.986046511627907
29,150,0.8908450704225352,0.8287659243411456,0.1035700274617497,0.5942028985507246,0.986046511627907
30,155,0.9119718309859155,0.8637105288415394,0.10749313456257359,0.6521739130434783,0.9953488372093023
31,160,0.897887323943662,0.8419042134561858,0.10749313456257359,0.6231884057971014,0.986046511627907
32,165,0.8908450704225352,0.8352267410304879,0.10513927030207926,0.6376811594202898,0.9720930232558139
33,170,0.8873239436619719,0.8196109567288606,0.1071008238524912,0.5652173913043478,0.9906976744186047
34,175,0.9119718309859155,0.8654462069096216,0.1004315417810906,0.6666666666666666,0.9906976744186047
35,180,0.9049295774647887,0.8488378969779408,0.11102393095331498,0.6086956521739131,1.0
36,185,0.897887323943662,0.837640704161492,0.10827775598273837,0.5942028985507246,0.9953488372093023
37,190,0.897887323943662,0.837640704161492,0.11298548450372692,0.5942028985507246,0.9953488372093023
38,195,0.897887323943662,0.835382063120865,0.11102393095331498,0.5797101449275363,1.0
39,200,0.8943661971830986,0.8308852719333069,0.11023930953315031,0.5797101449275363,0.9953488372093023
40,205,0.897887323943662,0.837640704161492,0.1035700274617497,0.5942028985507246,0.9953488372093023
41,210,0.9014084507042254,0.8442982456140351,0.10670851314240881,0.6086956521739131,0.9953488372093023
42,215,0.9049295774647887,0.8508606437809978,0.11965476657512752,0.6231884057971014,0.9953488372093023
43,220,0.8943661971830986,0.8331766917293233,0.11102393095331498,0.5942028985507246,0.9906976744186047
44,225,0.8943661971830986,0.8308852719333069,0.10317771675166731,0.5797101449275363,0.9953488372093023
45,230,0.8838028169014085,0.8126761407927086,0.10945468811298553,0.5507246376811594,0.9906976744186047
46,235,0.8908450704225352,0.8240291019567867,0.10827775598273837,0.5652173913043478,0.9953488372093023
47,240,0.8873239436619719,0.8170692431561997,0.11494703805413886,0.5507246376811594,0.9953488372093023
48,245,0.8838028169014085,0.8100026354734728,0.11180855237347975,0.5362318840579711,0.9953488372093023
49,250,0.8873239436619719,0.8144245691415501,0.11769321302471558,0.5362318840579711,1.0
50,255,0.8943661971830986,0.8285024154589372,0.11730090231463319,0.5652173913043478,1.0
51,260,0.9014084507042254,0.846355978050854,0.10474695959199687,0.6231884057971014,0.9906976744186047
52,265,0.8838028169014085,0.8126761407927086,0.11337779521380931,0.5507246376811594,0.9906976744186047
53,270,0.8943661971830986,0.8331766917293233,0.10670851314240881,0.5942028985507246,0.9906976744186047
54,275,0.897887323943662,0.835382063120865,0.10827775598273837,0.5797101449275363,1.0
55,280,0.8873239436619719,0.8170692431561997,0.10984699882306792,0.5507246376811594,0.9953488372093023
56,285,0.8767605633802817,0.7924626787764903,0.1235778736759513,0.4927536231884058,1.0
57,290,0.8873239436619719,0.8170692431561997,0.11455472734405647,0.5507246376811594,0.9953488372093023
58,295,0.8908450704225352,0.8240291019567867,0.11102393095331498,0.5652173913043478,0.9953488372093023
59,300,0.8873239436619719,0.8144245691415501,0.11455472734405647,0.5362318840579711,1.0
60,305,0.8802816901408451,0.8028261047128972,0.11651628089446842,0.5217391304347826,0.9953488372093023
