,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.7147887323943662,0.504555146346191,0.28991761475088274,0.13043478260869565,0.9023255813953488
1,10,0.7535211267605634,0.5378893537889354,0.25225578658297376,0.14492753623188406,0.9488372093023256
2,15,0.7640845070422535,0.5536581360981445,0.2471557473519027,0.15942028985507245,0.958139534883721
3,20,0.7887323943661971,0.5635245901639344,0.2204786190663005,0.14492753623188406,0.9953488372093023
4,25,0.7922535211267606,0.5837535709849707,0.21224009415457046,0.17391304347826086,0.9906976744186047
5,30,0.7852112676056338,0.5696435225437834,0.2173401333856414,0.15942028985507245,0.986046511627907
6,35,0.7816901408450704,0.5392987964416536,0.2244017261671244,0.11594202898550725,0.9953488372093023
7,40,0.7852112676056338,0.5515518624938521,0.216947822675559,0.13043478260869565,0.9953488372093023
8,45,0.7816901408450704,0.5392987964416536,0.21890937622597095,0.11594202898550725,0.9953488372093023
9,50,0.795774647887324,0.5780737704918033,0.20282463711259313,0.15942028985507245,1.0
10,55,0.8028169014084507,0.6009234166415738,0.1977245978815222,0.18840579710144928,1.0
11,60,0.8063380281690141,0.6119736678673456,0.19537073362102786,0.2028985507246377,1.0
12,65,0.7992957746478874,0.5978636194261582,0.19301686936053353,0.18840579710144928,0.9953488372093023
13,70,0.8098591549295775,0.6300299141175335,0.17183209101608476,0.2318840579710145,0.9953488372093023
14,75,0.8204225352112676,0.653881998709585,0.16633974107493132,0.2608695652173913,1.0
15,80,0.8133802816901409,0.6333698696870053,0.16908591604550804,0.2318840579710145,1.0
16,85,0.8274647887323944,0.673570875653867,0.16594743036484894,0.2898550724637681,1.0
17,90,0.8345070422535211,0.6924919943787868,0.16006276971361322,0.3188405797101449,1.0
18,95,0.823943661971831,0.6638257575757576,0.16987053746567282,0.2753623188405797,1.0
19,100,0.8309859154929577,0.6940479396714246,0.1541781090623774,0.3333333333333333,0.9906976744186047
20,105,0.823943661971831,0.6812999371577341,0.153785798352295,0.3188405797101449,0.986046511627907
21,110,0.8274647887323944,0.6849801924165252,0.15496273048254217,0.3188405797101449,0.9906976744186047
22,115,0.8345070422535211,0.6924919943787868,0.1502550019615535,0.3188405797101449,1.0
23,120,0.8450704225352113,0.719543944698806,0.15300117693213022,0.36231884057971014,1.0
24,125,0.8450704225352113,0.724223163841808,0.1506473126716359,0.37681159420289856,0.9953488372093023
25,130,0.8380281690140845,0.7067959421851153,0.1502550019615535,0.34782608695652173,0.9953488372093023
26,135,0.8345070422535211,0.6978381437464629,0.1506473126716359,0.3333333333333333,0.9953488372093023
27,140,0.8345070422535211,0.6924919943787868,0.14476265202040017,0.3188405797101449,1.0
28,145,0.8380281690140845,0.7067959421851153,0.15221655551196545,0.34782608695652173,0.9953488372093023
29,150,0.8309859154929577,0.6940479396714246,0.15300117693213022,0.3333333333333333,0.9906976744186047
30,155,0.823943661971831,0.6638257575757576,0.15300117693213022,0.2753623188405797,1.0
31,160,0.8309859154929577,0.6831241283124128,0.15496273048254217,0.30434782608695654,1.0
32,165,0.8309859154929577,0.6887102667153818,0.15653197332287172,0.3188405797101449,0.9953488372093023
33,170,0.8274647887323944,0.6849801924165252,0.15888583758336605,0.3188405797101449,0.9906976744186047
34,175,0.8380281690140845,0.7016806722689075,0.15535504119262455,0.3333333333333333,1.0
35,180,0.8380281690140845,0.7016806722689075,0.15770890545311889,0.3333333333333333,1.0
36,185,0.8309859154929577,0.6831241283124128,0.15888583758336605,0.30434782608695654,1.0
37,190,0.8345070422535211,0.6978381437464629,0.15457041977245978,0.3333333333333333,0.9953488372093023
38,195,0.8345070422535211,0.6924919943787868,0.15888583758336605,0.3188405797101449,1.0
39,200,0.8204225352112676,0.6663211002833644,0.16555511965476655,0.2898550724637681,0.9906976744186047
40,205,0.8345070422535211,0.6924919943787868,0.15535504119262455,0.3188405797101449,1.0
41,210,0.823943661971831,0.6699209669920967,0.16280894468418983,0.2898550724637681,0.9953488372093023
42,215,0.8345070422535211,0.6978381437464629,0.15300117693213022,0.3333333333333333,0.9953488372093023
43,220,0.8450704225352113,0.724223163841808,0.15613966261278933,0.37681159420289856,0.9953488372093023
44,225,0.8380281690140845,0.7067959421851153,0.15143193409180067,0.34782608695652173,0.9953488372093023
45,230,0.8345070422535211,0.7029487036830978,0.1541781090623774,0.34782608695652173,0.9906976744186047
46,235,0.8415492957746479,0.715589184377434,0.14947038054138873,0.36231884057971014,0.9953488372093023
