,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.821917808219178,0.7778947984319233,0.21946564885496178,0.5913978494623656,0.9296482412060302
1,10,0.8356164383561644,0.8035323801513878,0.15877862595419845,0.6774193548387096,0.9095477386934674
2,15,0.8767123287671232,0.8473867595818816,0.12633587786259537,0.6881720430107527,0.964824120603015
3,20,0.886986301369863,0.8626078277607472,0.11603053435114508,0.7311827956989247,0.9597989949748744
4,25,0.8904109589041096,0.8643437862950059,0.11106870229007637,0.7096774193548387,0.9748743718592965
5,30,0.8904109589041096,0.8663003663003663,0.11755725190839694,0.7311827956989247,0.964824120603015
6,35,0.8972602739726028,0.8737533867527526,0.11221374045801524,0.7311827956989247,0.9748743718592965
7,40,0.9006849315068494,0.8784014704404142,0.1091603053435114,0.7419354838709677,0.9748743718592965
8,45,0.9041095890410958,0.884624068638519,0.11603053435114508,0.7741935483870968,0.964824120603015
9,50,0.9178082191780822,0.9011063445473019,0.09809160305343512,0.7956989247311828,0.9748743718592965
10,55,0.9212328767123288,0.9049035016920833,0.09656488549618325,0.7956989247311828,0.9798994974874372
11,60,0.9041095890410958,0.884624068638519,0.0988549618320611,0.7741935483870968,0.964824120603015
12,65,0.9143835616438356,0.8959150210308691,0.09274809160305342,0.7741935483870968,0.9798994974874372
13,70,0.9075342465753424,0.8883649802472282,0.09809160305343512,0.7741935483870968,0.9698492462311558
