,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.7448979591836735,0.6907736968320081,0.2533081285444234,0.5161290322580645,0.8507462686567164
1,10,0.8197278911564626,0.7767461852568235,0.18903591682419663,0.6021505376344086,0.9203980099502488
2,15,0.8605442176870748,0.8297722105322619,0.17807183364839319,0.6881720430107527,0.9402985074626866
3,20,0.8843537414965986,0.8602974060822899,0.16862003780718338,0.7419354838709677,0.9502487562189055
4,25,0.8571428571428571,0.8237309427282591,0.15765595463137994,0.6666666666666666,0.945273631840796
5,30,0.8741496598639455,0.8463797997486266,0.15500945179584125,0.7096774193548387,0.9502487562189055
6,35,0.8707482993197279,0.8405184719922343,0.14782608695652177,0.6881720430107527,0.9552238805970149
7,40,0.8707482993197279,0.83811511041558,0.14820415879017013,0.6666666666666666,0.9651741293532339
8,45,0.8707482993197279,0.8416666666666667,0.14555765595463133,0.6989247311827957,0.9502487562189055
9,50,0.8639455782312925,0.8345060512243174,0.141398865784499,0.6989247311827957,0.9402985074626866
10,55,0.8639455782312925,0.8345060512243174,0.13988657844990549,0.6989247311827957,0.9402985074626866
11,60,0.8673469387755102,0.8344857452183327,0.1459357277882798,0.6666666666666666,0.9601990049751243
12,65,0.8775510204081632,0.8499999999999999,0.14517958412098297,0.7096774193548387,0.9552238805970149
13,70,0.8673469387755102,0.8357188910380399,0.14102079395085065,0.6774193548387096,0.9552238805970149
14,75,0.8775510204081632,0.8499999999999999,0.14631379962192814,0.7096774193548387,0.9552238805970149
15,80,0.8571428571428571,0.8196845794392523,0.14102079395085065,0.6344086021505376,0.9601990049751243
16,85,0.8639455782312925,0.8308789691670502,0.15122873345935728,0.6666666666666666,0.9552238805970149
17,90,0.8639455782312925,0.8321247073602467,0.14253308128544429,0.6774193548387096,0.9502487562189055
18,95,0.8639455782312925,0.8321247073602467,0.14631379962192814,0.6774193548387096,0.9502487562189055
19,100,0.8707482993197279,0.83811511041558,0.143289224952741,0.6666666666666666,0.9651741293532339
20,105,0.8571428571428571,0.8196845794392523,0.14782608695652177,0.6344086021505376,0.9601990049751243
21,110,0.8605442176870748,0.8259978347167087,0.14517958412098297,0.6559139784946236,0.9552238805970149
22,115,0.8775510204081632,0.8466353677621283,0.1500945179584121,0.6774193548387096,0.9701492537313433
23,120,0.8605442176870748,0.8218629464879483,0.15160680529300563,0.6236559139784946,0.9701492537313433
24,125,0.8605442176870748,0.8218629464879483,0.14706994328922496,0.6236559139784946,0.9701492537313433
25,130,0.8605442176870748,0.8259978347167087,0.15047258979206046,0.6559139784946236,0.9552238805970149
26,135,0.8401360544217688,0.7974227030830805,0.1500945179584121,0.6021505376344086,0.9502487562189055
27,140,0.8469387755102041,0.8012170385395537,0.1459357277882798,0.5806451612903226,0.9701492537313433
28,145,0.8503401360544217,0.8095967029732116,0.14253308128544429,0.6129032258064516,0.9601990049751243
29,150,0.8503401360544217,0.8110981308411215,0.14442344045368616,0.6236559139784946,0.9552238805970149
30,155,0.8537414965986394,0.8146633240972863,0.14858223062381848,0.6236559139784946,0.9601990049751243
31,160,0.8571428571428571,0.81524926686217,0.14215500945179582,0.6021505376344086,0.9751243781094527
32,165,0.8741496598639455,0.8405242556185952,0.1553875236294896,0.6559139784946236,0.9751243781094527
33,170,0.8537414965986394,0.8131733341215068,0.14480151228733462,0.6129032258064516,0.9651741293532339
34,175,0.8435374149659864,0.7976539589442816,0.15236294896030245,0.5806451612903226,0.9651741293532339
35,180,0.8571428571428571,0.8167735042735043,0.14706994328922496,0.6129032258064516,0.9701492537313433
36,185,0.8639455782312925,0.8282710280373832,0.14782608695652177,0.6451612903225806,0.9651741293532339
37,190,0.8401360544217688,0.792382240252423,0.1459357277882798,0.5698924731182796,0.9651741293532339
38,195,0.8537414965986394,0.8100518368266847,0.15576559546313795,0.5913978494623656,0.9751243781094527
39,200,0.8503401360544217,0.808048433048433,0.14896030245746694,0.6021505376344086,0.9651741293532339
40,205,0.8537414965986394,0.8116367429039708,0.1474480151228733,0.6021505376344086,0.9701492537313433
41,210,0.8503401360544217,0.8031050228310501,0.14971644612476376,0.5698924731182796,0.9800995024875622
42,215,0.8503401360544217,0.8048044422984065,0.15614366729678641,0.5806451612903226,0.9751243781094527
