,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.7346938775510204,0.5300819672131147,0.26691871455576555,0.15492957746478872,0.9192825112107623
1,10,0.7755102040816326,0.5505420179746132,0.25293005671077506,0.14084507042253522,0.9775784753363229
2,15,0.7721088435374149,0.5203448023960844,0.24461247637051042,0.09859154929577464,0.9865470852017937
3,20,0.7857142857142857,0.558105690087081,0.23894139886578447,0.14084507042253522,0.9910313901345291
4,25,0.7789115646258503,0.5440772992961946,0.2457466918714556,0.1267605633802817,0.9865470852017937
5,30,0.7755102040816326,0.5323435843054083,0.23894139886578447,0.11267605633802817,0.9865470852017937
6,35,0.7619047619047619,0.4826546003016591,0.231758034026465,0.056338028169014086,0.9865470852017937
7,40,0.7755102040816326,0.5122171945701357,0.23402646502835533,0.08450704225352113,0.9955156950672646
8,45,0.7619047619047619,0.4711143092105263,0.2291115311909263,0.04225352112676056,0.9910313901345291
9,50,0.7891156462585034,0.5606863973778078,0.21663516068052935,0.14084507042253522,0.9955156950672646
10,55,0.7857142857142857,0.5489809335963183,0.21890359168241968,0.1267605633802817,0.9955156950672646
11,60,0.7721088435374149,0.4880311890838207,0.21512287334593572,0.056338028169014086,1.0
12,65,0.7891156462585034,0.5514763779527558,0.21814744801512287,0.1267605633802817,1.0
13,70,0.7993197278911565,0.5861624716688536,0.2204158790170132,0.16901408450704225,1.0
14,75,0.7891156462585034,0.5514763779527558,0.21247637051039703,0.1267605633802817,1.0
15,80,0.7891156462585034,0.5514763779527558,0.21020793950850658,0.1267605633802817,1.0
16,85,0.7789115646258503,0.5247569073139191,0.21776937618147452,0.09859154929577464,0.9955156950672646
17,90,0.8027210884353742,0.6124545454545455,0.21020793950850658,0.2112676056338028,0.9910313901345291
18,95,0.782312925170068,0.526998491704374,0.20680529300567108,0.09859154929577464,1.0
19,100,0.8061224489795918,0.6080458425915097,0.20075614366729677,0.19718309859154928,1.0
20,105,0.8129251700680272,0.6290178264161334,0.20340264650283557,0.22535211267605634,1.0
21,110,0.8095238095238095,0.6186417122208839,0.20189035916824194,0.2112676056338028,1.0
22,115,0.8061224489795918,0.615527565558538,0.20378071833648392,0.2112676056338028,0.9955156950672646
23,120,0.8027210884353742,0.6050217733716298,0.20037807183364842,0.19718309859154928,0.9955156950672646
24,125,0.8027210884353742,0.6124545454545455,0.20718336483931943,0.2112676056338028,0.9910313901345291
25,130,0.7959183673469388,0.5914018345223757,0.20340264650283557,0.18309859154929578,0.9910313901345291
26,135,0.8095238095238095,0.6186417122208839,0.2022684310018904,0.2112676056338028,1.0
27,140,0.8061224489795918,0.6080458425915097,0.2030245746691871,0.19718309859154928,1.0
28,145,0.8163265306122449,0.6391818181818182,0.20037807183364842,0.23943661971830985,1.0
29,150,0.7993197278911565,0.5861624716688536,0.2049149338374291,0.16901408450704225,1.0
30,155,0.8027210884353742,0.5972222222222222,0.21209829867674856,0.18309859154929578,1.0
31,160,0.8129251700680272,0.6290178264161334,0.20945179584120988,0.22535211267605634,1.0
32,165,0.8027210884353742,0.6124545454545455,0.20453686200378074,0.2112676056338028,0.9910313901345291
33,170,0.8027210884353742,0.5972222222222222,0.20113421550094523,0.18309859154929578,1.0
34,175,0.7925170068027211,0.5805402876856508,0.20642722117202272,0.16901408450704225,0.9910313901345291
35,180,0.8061224489795918,0.615527565558538,0.2109640831758034,0.2112676056338028,0.9955156950672646
36,185,0.8061224489795918,0.6080458425915097,0.20453686200378074,0.19718309859154928,1.0
37,190,0.8061224489795918,0.6080458425915097,0.2090737240075614,0.19718309859154928,1.0
38,195,0.7993197278911565,0.5861624716688536,0.2075614366729679,0.16901408450704225,1.0
39,200,0.8095238095238095,0.6186417122208839,0.2056710775047259,0.2112676056338028,1.0
40,205,0.8061224489795918,0.615527565558538,0.20529300567107756,0.2112676056338028,0.9955156950672646
41,210,0.8027210884353742,0.6050217733716298,0.2117202268431002,0.19718309859154928,0.9955156950672646
42,215,0.8027210884353742,0.5972222222222222,0.21285444234404538,0.18309859154929578,1.0
43,220,0.7993197278911565,0.5942930651385803,0.2030245746691871,0.18309859154929578,0.9955156950672646
44,225,0.7925170068027211,0.5721340808779674,0.20793950850661624,0.15492957746478872,0.9955156950672646
45,230,0.8129251700680272,0.6359010155141744,0.20264650283553876,0.23943661971830985,0.9955156950672646
46,235,0.7891156462585034,0.5694444444444444,0.2143667296786389,0.15492957746478872,0.9910313901345291
47,240,0.7959183673469388,0.5748578039140075,0.20453686200378074,0.15492957746478872,1.0
48,245,0.7959183673469388,0.5748578039140075,0.1996219281663516,0.15492957746478872,1.0
49,250,0.8027210884353742,0.5972222222222222,0.2015122873345936,0.18309859154929578,1.0
50,255,0.8061224489795918,0.6080458425915097,0.20604914933837426,0.19718309859154928,1.0
51,260,0.8027210884353742,0.5972222222222222,0.1988657844990548,0.18309859154929578,1.0
52,265,0.8095238095238095,0.6258181818181818,0.2015122873345936,0.22535211267605634,0.9955156950672646
53,270,0.8095238095238095,0.6186417122208839,0.20415879017013228,0.2112676056338028,1.0
54,275,0.8027210884353742,0.5972222222222222,0.20113421550094523,0.18309859154929578,1.0
55,280,0.8095238095238095,0.6186417122208839,0.20529300567107756,0.2112676056338028,1.0
56,285,0.7993197278911565,0.5861624716688536,0.2049149338374291,0.16901408450704225,1.0
57,290,0.7891156462585034,0.5514763779527558,0.20642722117202272,0.1267605633802817,1.0
58,295,0.8129251700680272,0.6290178264161334,0.2056710775047259,0.22535211267605634,1.0
59,300,0.7993197278911565,0.5861624716688536,0.20604914933837426,0.16901408450704225,1.0
60,305,0.7993197278911565,0.5861624716688536,0.20189035916824194,0.16901408450704225,1.0
61,310,0.8061224489795918,0.6080458425915097,0.20037807183364842,0.19718309859154928,1.0
62,315,0.7857142857142857,0.558105690087081,0.2022684310018904,0.14084507042253522,0.9910313901345291
63,320,0.7891156462585034,0.5606863973778078,0.20340264650283557,0.14084507042253522,0.9955156950672646
64,325,0.7993197278911565,0.5861624716688536,0.20037807183364842,0.16901408450704225,1.0
65,330,0.8061224489795918,0.615527565558538,0.19924385633270325,0.2112676056338028,0.9955156950672646
66,335,0.8027210884353742,0.5972222222222222,0.19848771266540643,0.18309859154929578,1.0
67,340,0.8061224489795918,0.6080458425915097,0.20264650283553876,0.19718309859154928,1.0
68,345,0.8197278911564626,0.6554712892741061,0.19810964083175808,0.2676056338028169,0.9955156950672646
69,350,0.8061224489795918,0.6080458425915097,0.19395085066162576,0.19718309859154928,1.0
70,355,0.7959183673469388,0.5748578039140075,0.2022684310018904,0.15492957746478872,1.0
71,360,0.8027210884353742,0.5972222222222222,0.19810964083175808,0.18309859154929578,1.0
72,365,0.8197278911564626,0.6491409785863862,0.19659735349716445,0.2535211267605634,1.0
73,370,0.8061224489795918,0.6080458425915097,0.20075614366729677,0.19718309859154928,1.0
74,375,0.8027210884353742,0.5972222222222222,0.20453686200378074,0.18309859154929578,1.0
75,380,0.826530612244898,0.6684723726977249,0.18790170132325146,0.28169014084507044,1.0
76,385,0.8197278911564626,0.6491409785863862,0.1814744801512287,0.2535211267605634,1.0
77,390,0.8163265306122449,0.6391818181818182,0.185633270321361,0.23943661971830985,1.0
