,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.7551020408163265,0.5361150070126227,0.2597353497164461,0.14084507042253522,0.9506726457399103
1,10,0.7653061224489796,0.4955111785332372,0.24272211720226844,0.07042253521126761,0.9865470852017937
2,15,0.7551020408163265,0.43023255813953487,0.2423440453686201,0.0,0.9955156950672646
3,20,0.7721088435374149,0.5300489085053084,0.23364839319470698,0.11267605633802817,0.9820627802690582
4,25,0.7380952380952381,0.45990695455087677,0.23327032136105863,0.04225352112676056,0.9596412556053812
5,30,0.7448979591836735,0.47393534534176307,0.23402646502835533,0.056338028169014086,0.9641255605381166
6,35,0.7755102040816326,0.5013363486842105,0.23213610586011346,0.07042253521126761,1.0
7,40,0.7721088435374149,0.5101340429235781,0.2344045368620038,0.08450704225352113,0.9910313901345291
8,45,0.7687074829931972,0.4974358974358974,0.22797731568998114,0.07042253521126761,0.9910313901345291
9,50,0.7619047619047619,0.4589336418130192,0.22759924385633268,0.028169014084507043,0.9955156950672646
10,55,0.7857142857142857,0.5489809335963183,0.22117202268431002,0.1267605633802817,0.9955156950672646
11,60,0.7789115646258503,0.5247569073139191,0.22759924385633268,0.09859154929577464,0.9955156950672646
12,65,0.782312925170068,0.546514990841608,0.22797731568998114,0.1267605633802817,0.9910313901345291
13,70,0.782312925170068,0.537007874015748,0.2257088846880907,0.11267605633802817,0.9955156950672646
14,75,0.7653061224489796,0.4955111785332372,0.224952741020794,0.07042253521126761,0.9865470852017937
15,80,0.782312925170068,0.537007874015748,0.23251417769376181,0.11267605633802817,0.9955156950672646
16,85,0.7891156462585034,0.5606863973778078,0.22079395085066167,0.14084507042253522,0.9955156950672646
17,90,0.7891156462585034,0.5606863973778078,0.23062381852551983,0.14084507042253522,0.9955156950672646
18,95,0.7959183673469388,0.5914018345223757,0.2264650283553875,0.18309859154929578,0.9910313901345291
19,100,0.7789115646258503,0.5440772992961946,0.22117202268431002,0.1267605633802817,0.9865470852017937
20,105,0.7959183673469388,0.5748578039140075,0.22268431001890354,0.15492957746478872,1.0
21,110,0.7721088435374149,0.5300489085053084,0.2257088846880907,0.11267605633802817,0.9820627802690582
22,115,0.7857142857142857,0.5393797717042601,0.22533081285444234,0.11267605633802817,1.0
23,120,0.7891156462585034,0.5514763779527558,0.224952741020794,0.1267605633802817,1.0
24,125,0.782312925170068,0.546514990841608,0.22419659735349717,0.1267605633802817,0.9910313901345291
25,130,0.782312925170068,0.546514990841608,0.22268431001890354,0.1267605633802817,0.9910313901345291
26,135,0.7925170068027211,0.5721340808779674,0.22003780718336485,0.15492957746478872,0.9955156950672646
27,140,0.7959183673469388,0.5748578039140075,0.2264650283553875,0.15492957746478872,1.0
28,145,0.7891156462585034,0.5694444444444444,0.21398865784499055,0.15492957746478872,0.9910313901345291
29,150,0.7857142857142857,0.5489809335963183,0.21550094517958407,0.1267605633802817,0.9955156950672646
30,155,0.7755102040816326,0.5225393700787402,0.2204158790170132,0.09859154929577464,0.9910313901345291
31,160,0.782312925170068,0.5555555555555556,0.22873345935727785,0.14084507042253522,0.9865470852017937
32,165,0.7891156462585034,0.5514763779527558,0.21512287334593572,0.1267605633802817,1.0
33,170,0.7857142857142857,0.5393797717042601,0.22608695652173916,0.11267605633802817,1.0
34,175,0.7891156462585034,0.5606863973778078,0.21739130434782605,0.14084507042253522,0.9955156950672646
35,180,0.7687074829931972,0.4974358974358974,0.223062381852552,0.07042253521126761,0.9910313901345291
36,185,0.782312925170068,0.546514990841608,0.21323251417769373,0.1267605633802817,0.9910313901345291
37,190,0.7993197278911565,0.5942930651385803,0.21587901701323253,0.18309859154929578,0.9955156950672646
38,195,0.7755102040816326,0.5122171945701357,0.2204158790170132,0.08450704225352113,0.9955156950672646
39,200,0.782312925170068,0.537007874015748,0.22117202268431002,0.11267605633802817,0.9955156950672646
40,205,0.7857142857142857,0.5489809335963183,0.22381852551984882,0.1267605633802817,0.9955156950672646
41,210,0.782312925170068,0.537007874015748,0.22533081285444234,0.11267605633802817,0.9955156950672646
42,215,0.7687074829931972,0.4862253289473684,0.21928166351606804,0.056338028169014086,0.9955156950672646
43,220,0.7857142857142857,0.5393797717042601,0.21550094517958407,0.11267605633802817,1.0
44,225,0.7925170068027211,0.5721340808779674,0.21058601134215504,0.15492957746478872,0.9955156950672646
