,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.721830985915493,0.6237527460549043,0.2671635935661043,0.3333333333333333,0.9020618556701031
1,10,0.7570422535211268,0.6745228960087698,0.23224794036877205,0.4,0.9226804123711341
2,15,0.7711267605633803,0.7017144149821448,0.24990192232247943,0.45555555555555555,0.9175257731958762
3,20,0.7535211267605634,0.661628540305011,0.22008630835621812,0.36666666666666664,0.9329896907216495
4,25,0.7640845070422535,0.6809042276668176,0.20674774421341702,0.4,0.9329896907216495
5,30,0.7887323943661971,0.7128412537917088,0.19537073362102786,0.43333333333333335,0.9536082474226805
6,35,0.8274647887323944,0.7789953467689426,0.17261671243624954,0.5666666666666667,0.9484536082474226
7,40,0.8345070422535211,0.7861959603402155,0.1533934876422126,0.5666666666666667,0.9587628865979382
8,45,0.852112676056338,0.8081081081081081,0.1541781090623774,0.5888888888888889,0.9742268041237113
9,50,0.8626760563380281,0.8225881373035832,0.1569242840329541,0.6111111111111112,0.979381443298969
10,55,0.8697183098591549,0.8331189353153239,0.15182424480188306,0.6333333333333333,0.979381443298969
11,60,0.8661971830985915,0.8263835263835264,0.1471165162808945,0.6111111111111112,0.9845360824742269
12,65,0.8661971830985915,0.8320886233507592,0.1373087485288348,0.6555555555555556,0.9639175257731959
13,70,0.8591549295774648,0.8156203337012271,0.1439780306002354,0.5888888888888889,0.9845360824742269
14,75,0.8802816901408451,0.8472925101214575,0.12828560219693996,0.6555555555555556,0.9845360824742269
15,80,0.8873239436619719,0.8562753036437247,0.12083169870537469,0.6666666666666666,0.9896907216494846
16,85,0.8943661971830986,0.8684779252855821,0.1204393879952923,0.7111111111111111,0.979381443298969
17,90,0.8802816901408451,0.8485475876780224,0.1235778736759513,0.6666666666666666,0.979381443298969
18,95,0.8873239436619719,0.8586009459795867,0.12004707728520991,0.6888888888888889,0.979381443298969
19,100,0.8908450704225352,0.8635609899731894,0.12083169870537469,0.7,0.979381443298969
20,105,0.8943661971830986,0.8704615945995255,0.1235778736759513,0.7333333333333333,0.9690721649484536
21,110,0.8838028169014085,0.8558841168058311,0.11298548450372692,0.7,0.9690721649484536
22,112,0.8873239436619719,0.8607843137254902,0.11887014515496275,0.7111111111111111,0.9690721649484536
