,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.6385542168674698,0.4972743791641429,0.3823924731182796,0.16981132075471697,0.8584070796460177
1,10,0.6566265060240963,0.5091050583657587,0.331989247311828,0.16981132075471697,0.8849557522123894
2,15,0.7530120481927711,0.6400275030412016,0.24260752688172038,0.3018867924528302,0.9646017699115044
3,20,0.7349397590361446,0.5931372549019608,0.23319892473118276,0.22641509433962265,0.9734513274336283
4,25,0.7409638554216867,0.6224678690432115,0.22647849462365588,0.2830188679245283,0.9557522123893806
5,30,0.7469879518072289,0.6541666666666666,0.20766129032258063,0.3584905660377358,0.9292035398230089
6,35,0.7771084337349398,0.6978997589887365,0.1908602150537635,0.41509433962264153,0.9469026548672567
7,40,0.8132530120481928,0.762056688398761,0.16465053763440862,0.5471698113207547,0.9380530973451328
8,45,0.8192771084337349,0.7713498622589532,0.1733870967741935,0.5660377358490566,0.9380530973451328
9,50,0.8313253012048193,0.7865932047750229,0.17943548387096775,0.5849056603773585,0.9469026548672567
10,55,0.8614457831325302,0.8282269312097899,0.14717741935483875,0.660377358490566,0.9557522123893806
11,60,0.8433734939759037,0.7928187403993856,0.1626344086021505,0.5471698113207547,0.9823008849557522
12,65,0.8554216867469879,0.8144560357675111,0.14381720430107525,0.6037735849056604,0.9734513274336283
13,70,0.8313253012048193,0.783532041728763,0.14919354838709675,0.5660377358490566,0.9557522123893806
14,75,0.8313253012048193,0.7802987332198903,0.1626344086021505,0.5471698113207547,0.9646017699115044
15,80,0.8313253012048193,0.783532041728763,0.157258064516129,0.5660377358490566,0.9557522123893806
16,85,0.8554216867469879,0.8170798898071625,0.15389784946236562,0.6226415094339622,0.9646017699115044
17,90,0.8674698795180723,0.8299180327868854,0.15793010752688175,0.6226415094339622,0.9823008849557522
18,95,0.8433734939759037,0.7894634146341464,0.15389784946236562,0.5283018867924528,0.9911504424778761
19,100,0.8253012048192772,0.7670682730923695,0.15053763440860213,0.5094339622641509,0.9734513274336283
20,105,0.8493975903614458,0.8023338890211955,0.14852150537634412,0.5660377358490566,0.9823008849557522
21,110,0.8554216867469879,0.8144560357675111,0.13440860215053763,0.6037735849056604,0.9734513274336283
22,115,0.8614457831325302,0.820877316443819,0.13978494623655913,0.6037735849056604,0.9823008849557522
23,120,0.8554216867469879,0.8116846284741916,0.14717741935483875,0.5849056603773585,0.9823008849557522
24,125,0.8554216867469879,0.8116846284741916,0.13844086021505375,0.5849056603773585,0.9823008849557522
25,130,0.8313253012048193,0.7802987332198903,0.14583333333333337,0.5471698113207547,0.9646017699115044
26,135,0.8734939759036144,0.8410469198850941,0.133736559139785,0.660377358490566,0.9734513274336283
27,140,0.8313253012048193,0.783532041728763,0.14247311827956988,0.5660377358490566,0.9557522123893806
28,145,0.8313253012048193,0.7768817204301075,0.13844086021505375,0.5283018867924528,0.9734513274336283
29,150,0.8313253012048193,0.7768817204301075,0.13776881720430112,0.5283018867924528,0.9734513274336283
30,155,0.8493975903614458,0.8023338890211955,0.14583333333333337,0.5660377358490566,0.9823008849557522
31,160,0.8614457831325302,0.8181471778994999,0.14717741935483875,0.5849056603773585,0.9911504424778761
32,165,0.8313253012048193,0.7802987332198903,0.14247311827956988,0.5471698113207547,0.9646017699115044
33,170,0.8493975903614458,0.7991967871485943,0.13709677419354838,0.5471698113207547,0.9911504424778761
34,175,0.8493975903614458,0.8023338890211955,0.14247311827956988,0.5660377358490566,0.9823008849557522
35,180,0.8373493975903614,0.7795484727755644,0.13978494623655913,0.5094339622641509,0.9911504424778761
36,185,0.8554216867469879,0.8087557603686637,0.12634408602150538,0.5660377358490566,0.9911504424778761
37,190,0.8493975903614458,0.8023338890211955,0.13709677419354838,0.5660377358490566,0.9823008849557522
38,195,0.8313253012048193,0.7768817204301075,0.13642473118279574,0.5283018867924528,0.9734513274336283
39,200,0.8493975903614458,0.8023338890211955,0.1303763440860215,0.5660377358490566,0.9823008849557522
40,205,0.8493975903614458,0.8053014309171944,0.13306451612903225,0.5849056603773585,0.9734513274336283
41,210,0.8614457831325302,0.8234614139732741,0.12029569892473113,0.6226415094339622,0.9734513274336283
42,215,0.8674698795180723,0.8273775761013424,0.133736559139785,0.6037735849056604,0.9911504424778761
43,220,0.8554216867469879,0.8116846284741916,0.13172043010752688,0.5849056603773585,0.9823008849557522
44,225,0.8313253012048193,0.7768817204301075,0.13239247311827962,0.5283018867924528,0.9734513274336283
45,230,0.8493975903614458,0.8023338890211955,0.133736559139785,0.5660377358490566,0.9823008849557522
46,235,0.8674698795180723,0.8273775761013424,0.12298387096774188,0.6037735849056604,0.9911504424778761
47,240,0.8433734939759037,0.7989940387481371,0.12567204301075274,0.5849056603773585,0.9646017699115044
48,245,0.8554216867469879,0.8144560357675111,0.12970430107526887,0.6037735849056604,0.9734513274336283
49,250,0.8734939759036144,0.8339604667778042,0.13508064516129037,0.6037735849056604,1.0
