,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.7530120481927711,0.680694346704199,0.23655913978494625,0.4339622641509434,0.9026548672566371
1,10,0.8253012048192772,0.7670682730923695,0.15120967741935487,0.5094339622641509,0.9734513274336283
2,15,0.8433734939759037,0.7928187403993856,0.13508064516129037,0.5471698113207547,0.9823008849557522
3,20,0.8614457831325302,0.8259085313027221,0.12231182795698925,0.6415094339622641,0.9646017699115044
4,25,0.8493975903614458,0.8107701427203502,0.11491935483870963,0.6226415094339622,0.9557522123893806
5,30,0.8614457831325302,0.8259085313027221,0.11827956989247312,0.6415094339622641,0.9646017699115044
6,35,0.8313253012048193,0.783532041728763,0.11827956989247312,0.5660377358490566,0.9557522123893806
7,40,0.8493975903614458,0.8023338890211955,0.11223118279569888,0.5660377358490566,0.9823008849557522
8,45,0.8253012048192772,0.7707073112645868,0.12567204301075274,0.5283018867924528,0.9646017699115044
9,50,0.8313253012048193,0.7802987332198903,0.1196236559139785,0.5471698113207547,0.9646017699115044
10,55,0.8192771084337349,0.7609447004608295,0.1196236559139785,0.5094339622641509,0.9646017699115044
11,60,0.8253012048192772,0.7707073112645868,0.12701612903225812,0.5283018867924528,0.9646017699115044
12,65,0.8493975903614458,0.8053014309171944,0.12029569892473113,0.5849056603773585,0.9734513274336283
13,70,0.8373493975903614,0.786520600142891,0.12029569892473113,0.5471698113207547,0.9734513274336283
14,75,0.8313253012048193,0.7768817204301075,0.12298387096774188,0.5283018867924528,0.9734513274336283
15,80,0.8373493975903614,0.78972554539057,0.11827956989247312,0.5660377358490566,0.9646017699115044
16,85,0.8373493975903614,0.7927590511860174,0.11223118279569888,0.5849056603773585,0.9557522123893806
17,90,0.8132530120481928,0.7585737743373211,0.11827956989247312,0.5283018867924528,0.9469026548672567
18,95,0.8433734939759037,0.7989940387481371,0.11155913978494625,0.5849056603773585,0.9646017699115044
19,100,0.8373493975903614,0.7831325301204819,0.12029569892473113,0.5283018867924528,0.9823008849557522
20,105,0.8433734939759037,0.7989940387481371,0.116263440860215,0.5849056603773585,0.9646017699115044
21,110,0.8493975903614458,0.8023338890211955,0.11223118279569888,0.5660377358490566,0.9823008849557522
22,112,0.8433734939759037,0.7989940387481371,0.11895161290322576,0.5849056603773585,0.9646017699115044
