,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.7710843373493976,0.6030707274100175,0.23790322580645162,0.24390243902439024,0.944
1,10,0.7891566265060241,0.648539108341903,0.20094086021505375,0.3170731707317073,0.944
2,15,0.8072289156626506,0.6902985074626866,0.19758064516129037,0.3902439024390244,0.944
3,20,0.8253012048192772,0.7159379241163628,0.1875,0.4146341463414634,0.96
4,25,0.8012048192771084,0.6767569481324127,0.17741935483870963,0.36585365853658536,0.944
5,30,0.8674698795180723,0.7919799498746867,0.15255376344086025,0.5365853658536586,0.976
6,35,0.891566265060241,0.8434946574481457,0.14852150537634412,0.6829268292682927,0.96
7,40,0.8855421686746988,0.8297987156656413,0.13776881720430112,0.6341463414634146,0.968
8,45,0.8975903614457831,0.8444922025679176,0.12768817204301075,0.6341463414634146,0.984
9,50,0.8975903614457831,0.8477146403324161,0.13642473118279574,0.6585365853658537,0.976
10,55,0.8975903614457831,0.8477146403324161,0.1303763440860215,0.6585365853658537,0.976
11,60,0.8674698795180723,0.7965686274509804,0.13239247311827962,0.5609756097560976,0.968
12,65,0.8975903614457831,0.8444922025679176,0.12701612903225812,0.6341463414634146,0.984
13,70,0.8855421686746988,0.8261971675759079,0.11760752688172038,0.6097560975609756,0.976
14,75,0.8674698795180723,0.7965686274509804,0.12970430107526887,0.5609756097560976,0.968
15,80,0.8674698795180723,0.8008724100327154,0.12298387096774188,0.5853658536585366,0.96
16,85,0.8855421686746988,0.8261971675759079,0.11491935483870963,0.6097560975609756,0.976
17,90,0.891566265060241,0.8335561497326204,0.12701612903225812,0.6097560975609756,0.984
18,95,0.8734939759036144,0.8036609405801183,0.12432795698924726,0.5609756097560976,0.976
19,100,0.8855421686746988,0.8297987156656413,0.12903225806451613,0.6341463414634146,0.968
20,105,0.8855421686746988,0.8297987156656413,0.12567204301075274,0.6341463414634146,0.968
21,110,0.8975903614457831,0.8477146403324161,0.1283602150537635,0.6585365853658537,0.976
22,112,0.8734939759036144,0.8036609405801183,0.1216397849462365,0.5609756097560976,0.976
