,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.8850574712643678,0.8628625472887768,0.16826615483045426,0.7636363636363637,0.9411764705882353
1,10,0.896551724137931,0.876576292559899,0.11452335252719126,0.7818181818181819,0.9495798319327731
2,15,0.9080459770114943,0.8877419354838709,0.10684580934101084,0.7636363636363637,0.9747899159663865
3,20,0.896551724137931,0.8721632653061224,0.09468969929622517,0.7272727272727273,0.9747899159663865
4,25,0.9022988505747126,0.8785065921879491,0.09852847088931538,0.7272727272727273,0.9831932773109243
5,30,0.9080459770114943,0.8877419354838709,0.10236724248240558,0.7636363636363637,0.9747899159663865
6,35,0.9080459770114943,0.8863673469387755,0.108765195137556,0.7454545454545455,0.9831932773109243
7,40,0.9022988505747126,0.8785065921879491,0.10172744721689064,0.7272727272727273,0.9831932773109243
8,45,0.9022988505747126,0.8785065921879491,0.09596928982725528,0.7272727272727273,0.9831932773109243
9,50,0.9080459770114943,0.8863673469387755,0.10620601407549579,0.7454545454545455,0.9831932773109243
10,55,0.9022988505747126,0.8785065921879491,0.10044785668586054,0.7272727272727273,0.9831932773109243
11,60,0.9080459770114943,0.8877419354838709,0.10300703774792064,0.7636363636363637,0.9747899159663865
12,65,0.9022988505747126,0.8785065921879491,0.10620601407549579,0.7272727272727273,0.9831932773109243
13,70,0.9137931034482759,0.8941219423147134,0.11260396673064621,0.7636363636363637,0.9831932773109243
