,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.7241379310344828,0.634965034965035,0.27703134996801027,0.36363636363636365,0.8907563025210085
1,10,0.764367816091954,0.6949587377602942,0.20921305182341654,0.45454545454545453,0.907563025210084
2,15,0.7701149425287356,0.7002583979328165,0.21049264235444654,0.45454545454545453,0.9159663865546218
3,20,0.8908045977011494,0.8624505928853755,0.14587332053742808,0.6909090909090909,0.9831932773109243
4,25,0.896551724137931,0.8688222482827944,0.13179782469609724,0.6909090909090909,0.9915966386554622
5,30,0.8505747126436781,0.8079144021739131,0.13819577735124755,0.6,0.9663865546218487
6,35,0.9080459770114943,0.8863673469387755,0.11324376199616126,0.7454545454545455,0.9831932773109243
7,40,0.9080459770114943,0.8833975540291507,0.11900191938579652,0.7090909090909091,1.0
8,45,0.9195402298850575,0.9005714285714286,0.10620601407549579,0.7636363636363637,0.9915966386554622
9,50,0.896551724137931,0.8721632653061224,0.108765195137556,0.7272727272727273,0.9747899159663865
10,55,0.9195402298850575,0.9005714285714286,0.11196417146513116,0.7636363636363637,0.9915966386554622
11,60,0.9137931034482759,0.8941219423147134,0.11388355726167632,0.7636363636363637,0.9831932773109243
12,65,0.9137931034482759,0.8927999342834846,0.10044785668586054,0.7454545454545455,0.9915966386554622
13,70,0.9022988505747126,0.8785065921879491,0.10940499040307106,0.7272727272727273,0.9831932773109243
