,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.8448275862068966,0.7559607293127629,0.17850287907869478,0.5,0.9545454545454546
1,10,0.8390804597701149,0.7252424994360478,0.17338451695457457,0.40476190476190477,0.9772727272727273
2,15,0.8448275862068966,0.7316501970640314,0.17914267434420983,0.40476190476190477,0.9848484848484849
3,20,0.8390804597701149,0.7103448275862069,0.17402431222008952,0.35714285714285715,0.9924242424242424
4,25,0.8390804597701149,0.7103448275862069,0.1625079974408189,0.35714285714285715,0.9924242424242424
5,30,0.8390804597701149,0.7319542253521127,0.14715291106845807,0.42857142857142855,0.9696969696969697
6,35,0.8735632183908046,0.7989495798319328,0.13307741522712735,0.5476190476190477,0.9772727272727273
7,40,0.8563218390804598,0.768948850055771,0.1362763915547025,0.5,0.9696969696969697
8,45,0.8850574712643678,0.8172268907563025,0.13051823416506714,0.5714285714285714,0.9848484848484849
9,50,0.8850574712643678,0.8211716341212745,0.12284069097888672,0.5952380952380952,0.9772727272727273
10,55,0.9080459770114943,0.8569373072970194,0.11452335252719126,0.6428571428571429,0.9924242424242424
11,60,0.8908045977011494,0.8202772492525143,0.11196417146513116,0.5476190476190477,1.0
12,65,0.896551724137931,0.839054470709147,0.11388355726167632,0.6190476190476191,0.9848484848484849
13,70,0.896551724137931,0.8423913043478262,0.1074856046065259,0.6428571428571429,0.9772727272727273
