,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.6228571428571429,0.520029920212766,0.39415130324221237,0.2545454545454545,0.7916666666666666
1,10,0.7085714285714285,0.5672727272727273,0.3477431659249841,0.21818181818181817,0.9333333333333333
2,15,0.7314285714285714,0.5932446466544681,0.29688493324856957,0.23636363636363636,0.9583333333333334
3,20,0.76,0.640129259694477,0.27908455181182457,0.2909090909090909,0.975
4,25,0.7542857142857143,0.6118933415854351,0.2695486331849968,0.23636363636363636,0.9916666666666667
5,30,0.7371428571428571,0.5802044221944097,0.2581055308328035,0.2,0.9833333333333333
6,35,0.7942857142857143,0.7133236257735711,0.217418944691672,0.41818181818181815,0.9666666666666667
7,40,0.7771428571428571,0.6812088374048297,0.22186904005085828,0.36363636363636365,0.9666666666666667
8,45,0.76,0.6655442300691664,0.19643992371265095,0.36363636363636365,0.9416666666666667
9,50,0.7714285714285715,0.681470695303968,0.2097902097902098,0.38181818181818183,0.95
10,55,0.76,0.6597222222222222,0.19834710743801653,0.34545454545454546,0.95
11,60,0.8057142857142857,0.7337092731829573,0.1977113795295613,0.45454545454545453,0.9666666666666667
12,65,0.7942857142857143,0.7133236257735711,0.19898283534647176,0.41818181818181815,0.9666666666666667
13,70,0.7942857142857143,0.7083333333333334,0.20661157024793386,0.4,0.975
14,75,0.7771428571428571,0.6812088374048297,0.20406865861411316,0.36363636363636365,0.9666666666666667
15,80,0.7771428571428571,0.6920265330986869,0.20851875397329944,0.4,0.95
16,85,0.8,0.7280799112097669,0.19643992371265095,0.45454545454545453,0.9583333333333334
17,90,0.8,0.7280799112097669,0.19643992371265095,0.45454545454545453,0.9583333333333334
18,95,0.8171428571428572,0.7606837606837606,0.1977113795295613,0.5272727272727272,0.95
19,100,0.8,0.7363209780877351,0.1849968213604577,0.4909090909090909,0.9416666666666667
20,105,0.8228571428571428,0.7698247698247698,0.18181818181818177,0.5454545454545454,0.95
21,110,0.8171428571428572,0.7533474277660325,0.19135410044500956,0.4909090909090909,0.9666666666666667
22,115,0.7942857142857143,0.7133236257735711,0.19961856325492688,0.41818181818181815,0.9666666666666667
23,120,0.7885714285714286,0.7078200442218312,0.18181818181818177,0.41818181818181815,0.9583333333333334
24,125,0.7942857142857143,0.7180451127819549,0.20089001907183723,0.43636363636363634,0.9583333333333334
25,130,0.8457142857142858,0.7965904688105385,0.18308963763509223,0.5636363636363636,0.975
26,135,0.8171428571428572,0.7451765562431744,0.1951684678957406,0.45454545454545453,0.9833333333333333
27,140,0.8,0.7236135553449754,0.19198982835346468,0.43636363636363634,0.9666666666666667
28,145,0.8228571428571428,0.7591564927857937,0.19707565162110618,0.4909090909090909,0.975
29,150,0.8171428571428572,0.7493734335839599,0.19580419580419584,0.4727272727272727,0.975
30,155,0.8057142857142857,0.7379316420014095,0.19326128417037503,0.4727272727272727,0.9583333333333334
31,160,0.8171428571428572,0.7493734335839599,0.1900826446280992,0.4727272727272727,0.975
32,165,0.8228571428571428,0.7629037192430401,0.1900826446280992,0.509090909090909,0.9666666666666667
33,170,0.8228571428571428,0.7591564927857937,0.18181818181818177,0.4909090909090909,0.975
34,175,0.8228571428571428,0.7552005775912639,0.18118245390972665,0.4727272727272727,0.9833333333333333
35,180,0.8114285714285714,0.7394070664681197,0.17291799109980932,0.45454545454545453,0.975
36,185,0.84,0.7874739764052741,0.17291799109980932,0.5454545454545454,0.975
37,190,0.8171428571428572,0.7493734335839599,0.17609663064208514,0.4727272727272727,0.975
38,195,0.8057142857142857,0.724537037037037,0.17673235855054037,0.41818181818181815,0.9833333333333333
39,200,0.8228571428571428,0.7591564927857937,0.18181818181818177,0.4909090909090909,0.975
40,205,0.8171428571428572,0.7493734335839599,0.18944691671964398,0.4727272727272727,0.975
41,210,0.8285714285714286,0.7650375939849623,0.17101080737444374,0.4909090909090909,0.9833333333333333
42,215,0.8057142857142857,0.7292500910083728,0.17291799109980932,0.43636363636363634,0.975
43,220,0.8171428571428572,0.7533474277660325,0.1799109980928163,0.4909090909090909,0.9666666666666667
44,225,0.8114285714285714,0.7349580063334711,0.1697393515575334,0.43636363636363634,0.9833333333333333
45,230,0.8114285714285714,0.7436182019977804,0.18436109345200258,0.4727272727272727,0.9666666666666667
46,235,0.8114285714285714,0.7394070664681197,0.17673235855054037,0.45454545454545453,0.975
47,240,0.8228571428571428,0.7591564927857937,0.19135410044500956,0.4909090909090909,0.975
48,245,0.8285714285714286,0.761103021477976,0.17546090273363002,0.4727272727272727,0.9916666666666667
49,250,0.8,0.7086247086247087,0.18054672600127142,0.38181818181818183,0.9916666666666667
50,255,0.8114285714285714,0.7349580063334711,0.17355371900826444,0.43636363636363634,0.9833333333333333
51,260,0.8057142857142857,0.7379316420014095,0.17863954227590595,0.4727272727272727,0.9583333333333334
52,265,0.8114285714285714,0.7394070664681197,0.17863954227590595,0.45454545454545453,0.975
53,270,0.8114285714285714,0.7349580063334711,0.17609663064208514,0.43636363636363634,0.9833333333333333
54,275,0.8114285714285714,0.7394070664681197,0.17800381436745072,0.45454545454545453,0.975
55,280,0.8114285714285714,0.7436182019977804,0.17609663064208514,0.4727272727272727,0.9666666666666667
56,285,0.8,0.7139053669017703,0.18181818181818177,0.4,0.9833333333333333
57,290,0.7771428571428571,0.6690909090909091,0.17927527018436107,0.32727272727272727,0.9833333333333333
58,295,0.7942857142857143,0.6974644640799078,0.18308963763509223,0.36363636363636365,0.9916666666666667
59,300,0.8057142857142857,0.7292500910083728,0.17546090273363002,0.43636363636363634,0.975
60,305,0.8285714285714286,0.7687632135306554,0.17355371900826444,0.509090909090909,0.975
61,310,0.8457142857142858,0.7934967877278092,0.16147488874761606,0.5454545454545454,0.9833333333333333
62,315,0.8057142857142857,0.724537037037037,0.17609663064208514,0.41818181818181815,0.9833333333333333
63,320,0.8342857142857143,0.7709940887144082,0.16910362364907816,0.4909090909090909,0.9916666666666667
64,325,0.8342857142857143,0.7709940887144082,0.16656071201525746,0.4909090909090909,0.9916666666666667
65,330,0.8171428571428572,0.7451765562431744,0.16846789574062304,0.45454545454545453,0.9833333333333333
66,335,0.8285714285714286,0.761103021477976,0.15893197711379525,0.4727272727272727,0.9916666666666667
67,340,0.8457142857142858,0.7867875998375524,0.182453909726637,0.509090909090909,1.0
68,345,0.84,0.7841789992952783,0.15448188175460897,0.5272727272727272,0.9833333333333333
69,350,0.8514285714285714,0.7963659147869673,0.1627463445645264,0.5272727272727272,1.0
