,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.7828571428571428,0.6366914335664335,0.2047043865225684,0.30952380952380953,0.9323308270676691
1,10,0.7828571428571428,0.6275761648745519,0.16401780038143676,0.2857142857142857,0.9398496240601504
2,15,0.8114285714285714,0.6724147711157751,0.15448188175460897,0.3333333333333333,0.9624060150375939
3,20,0.84,0.7255824372759856,0.1500317863954228,0.40476190476190477,0.9774436090225563
4,25,0.84,0.7255824372759856,0.14558169103623653,0.40476190476190477,0.9774436090225563
5,30,0.8514285714285714,0.7627242386316229,0.1424030514939606,0.5,0.9624060150375939
6,35,0.8571428571428571,0.7638326585695007,0.14621741894469165,0.47619047619047616,0.9774436090225563
7,40,0.8514285714285714,0.7572556551429791,0.14812460267005723,0.47619047619047616,0.9699248120300752
8,45,0.8285714285714286,0.6982758620689655,0.14876033057851235,0.35714285714285715,0.9774436090225563
9,50,0.8342857142857143,0.7193186217576462,0.14812460267005723,0.40476190476190477,0.9699248120300752
10,55,0.8514285714285714,0.7514204545454546,0.14812460267005723,0.4523809523809524,0.9774436090225563
11,60,0.8171428571428572,0.6863799283154122,0.1500317863954228,0.35714285714285715,0.9624060150375939
12,65,0.84,0.732298951048951,0.15130324221233316,0.42857142857142855,0.9699248120300752
13,70,0.8342857142857143,0.7193186217576462,0.14876033057851235,0.40476190476190477,0.9699248120300752
14,75,0.84,0.732298951048951,0.147488874761602,0.42857142857142855,0.9699248120300752
15,80,0.8114285714285714,0.6636379521230125,0.14812460267005723,0.30952380952380953,0.9699248120300752
16,85,0.8171428571428572,0.6693434104865376,0.15130324221233316,0.30952380952380953,0.9774436090225563
17,90,0.84,0.7255824372759856,0.14558169103623653,0.40476190476190477,0.9774436090225563
18,95,0.8457142857142858,0.7386759581881532,0.14876033057851235,0.42857142857142855,0.9774436090225563
19,100,0.84,0.7255824372759856,0.1500317863954228,0.40476190476190477,0.9774436090225563
20,105,0.84,0.732298951048951,0.14049586776859502,0.42857142857142855,0.9699248120300752
21,110,0.8457142857142858,0.7319757218219978,0.15193897012078827,0.40476190476190477,0.9849624060150376
22,115,0.8285714285714286,0.6900094473311289,0.14558169103623653,0.3333333333333333,0.9849624060150376
23,120,0.8342857142857143,0.7121220715865904,0.1525746980292435,0.38095238095238093,0.9774436090225563
24,125,0.8342857142857143,0.7121220715865904,0.1525746980292435,0.38095238095238093,0.9774436090225563
25,130,0.8342857142857143,0.7121220715865904,0.14621741894469165,0.38095238095238093,0.9774436090225563
26,135,0.8571428571428571,0.7580332946186605,0.15130324221233316,0.4523809523809524,0.9849624060150376
27,140,0.8342857142857143,0.7044091094414351,0.147488874761602,0.35714285714285715,0.9849624060150376
28,145,0.8285714285714286,0.6982758620689655,0.1398601398601399,0.35714285714285715,0.9774436090225563
