,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.8390804597701149,0.7901808785529716,0.17274472168905952,0.5636363636363636,0.9663865546218487
1,10,0.8735632183908046,0.8374660326086957,0.15035188739603322,0.6363636363636364,0.9831932773109243
2,15,0.8908045977011494,0.8624505928853755,0.11900191938579652,0.6909090909090909,0.9831932773109243
3,20,0.896551724137931,0.8705357142857142,0.1113243761996161,0.7090909090909091,0.9831932773109243
4,25,0.8908045977011494,0.8624505928853755,0.12156110044785673,0.6909090909090909,0.9831932773109243
5,30,0.9080459770114943,0.8877419354838709,0.12348048624440178,0.7636363636363637,0.9747899159663865
6,35,0.9022988505747126,0.8785065921879491,0.11708253358925147,0.7272727272727273,0.9831932773109243
7,40,0.9022988505747126,0.8785065921879491,0.12156110044785673,0.7272727272727273,0.9831932773109243
8,45,0.8850574712643678,0.8542469425364383,0.12092130518234168,0.6727272727272727,0.9831932773109243
9,50,0.9022988505747126,0.8785065921879491,0.10620601407549579,0.7272727272727273,0.9831932773109243
10,55,0.9022988505747126,0.8785065921879491,0.11388355726167632,0.7272727272727273,0.9831932773109243
11,60,0.9022988505747126,0.8785065921879491,0.1113243761996161,0.7272727272727273,0.9831932773109243
12,65,0.9080459770114943,0.8863673469387755,0.10812539987204095,0.7454545454545455,0.9831932773109243
13,70,0.9080459770114943,0.8863673469387755,0.1074856046065259,0.7454545454545455,0.9831932773109243
