,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.8103448275862069,0.7017297802711546,0.1887396033269354,0.42857142857142855,0.9318181818181818
1,10,0.8333333333333334,0.7256863278064691,0.16954574536148437,0.42857142857142855,0.9621212121212122
2,15,0.8390804597701149,0.7382333978078659,0.16442738323736406,0.4523809523809524,0.9621212121212122
3,20,0.8448275862068966,0.7611226928357147,0.13179782469609724,0.5238095238095238,0.946969696969697
4,25,0.8505747126436781,0.7623949579831932,0.12539987204094694,0.5,0.9621212121212122
5,30,0.8505747126436781,0.7569310122501611,0.1426743442098528,0.47619047619047616,0.9696969696969697
6,35,0.867816091954023,0.7921146953405018,0.1311580294305822,0.5476190476190477,0.9696969696969697
7,40,0.8620689655172413,0.780672268907563,0.13819577735124755,0.5238095238095238,0.9696969696969697
8,45,0.8793103448275862,0.8059170340468478,0.12731925783749198,0.5476190476190477,0.9848484848484849
9,50,0.8735632183908046,0.7943262411347518,0.1324376199616123,0.5238095238095238,0.9848484848484849
10,55,0.8620689655172413,0.780672268907563,0.13435700575815734,0.5238095238095238,0.9696969696969697
11,60,0.8735632183908046,0.7989495798319328,0.12156110044785673,0.5476190476190477,0.9772727272727273
12,65,0.9137931034482759,0.8644226273959794,0.10556621880998085,0.6428571428571429,1.0
13,70,0.9137931034482759,0.8672903849087303,0.10428662827895074,0.6666666666666666,0.9924242424242424
